Conversion_ID,Order_ID,Order_Date,Country,Channel,Campaign_ID,Campaign_Name,Customer_ID,Conversion_Type,Attributed_Revenue
CONV-000044,ORD-000851,2024-03-03,France,Google Ads,CAMP-FR-GGL-034,Furniture Search FR,CUST-014584,Purchase,472.91
CONV-000045,ORD-008931,2024-02-27,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,CUST-014012,Purchase,1065.22
CONV-000046,ORD-006075,2024-07-21,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-019677,Purchase,861.46
CONV-000047,ORD-009823,2024-09-21,France,Meta Ads,CAMP-FR-MTA-019,Summer Living FR,CUST-001204,Purchase,205.18
CONV-000048,ORD-003707,2024-11-12,Spain,Google Ads,CAMP-ES-GGL-021,Black Friday Search ES,CUST-015707,Assisted Purchase,169.57
CONV-000049,ORD-008590,2024-11-24,Portugal,Meta Ads,CAMP-PT-MTA-017,Black Friday Campaign PT,CUST-009527,Purchase,1234.80
CONV-000050,ORD-010447,2024-05-12,Spain,Google Ads,CAMP-ES-GGL-036,Furniture Search ES,CUST-015557,Assisted Purchase,626.22
CONV-000051,ORD-002717,2024-04-27,France,Meta Ads,CAMP-FR-MTA-011,Spring Collection FR,CUST-019861,Purchase,873.17
CONV-000052,ORD-007450,2024-05-02,France,Organic Search,,,CUST-001440,Purchase,982.85
CONV-000053,ORD-003092,2024-02-26,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,CUST-009539,Purchase,815.35
CONV-000054,ORD-010921,2024-02-19,France,Google Ads,CAMP-FR-GGL-034,Furniture Search FR,CUST-008904,Purchase,248.11
CONV-000055,ORD-000245,2024-02-23,France,Google Ads,CAMP-FR-GGL-010,Home Decor Search FR,CUST-000653,Purchase,1098.49
CONV-000056,ORD-005683,2024-11-05,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-012223,Purchase,297.79
CONV-000057,ORD-001561,2024-08-11,Spain,Email Marketing,CAMP-ES-EML-048,Welcome Series ES,CUST-016901,Purchase,719.27
CONV-000058,ORD-005434,2024-12-09,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,CUST-000572,Purchase,198.16
CONV-000059,ORD-000528,2024-07-18,Spain,Google Ads,CAMP-ES-GGL-013,Brand Search ES,CUST-006321,Purchase,482.30
CONV-000060,ORD-001406,2024-11-29,Spain,Google Ads,CAMP-ES-GGL-021,Black Friday Search ES,CUST-003254,Purchase,2025.40
CONV-000061,ORD-012406,2024-10-31,France,Google Ads,CAMP-FR-GGL-027,Brand Search FR,CUST-000010,Purchase,219.58
CONV-000062,ORD-004381,2024-05-28,France,Meta Ads,CAMP-FR-MTA-019,Summer Living FR,CUST-015968,Purchase,967.63
CONV-000063,ORD-009588,2024-08-09,France,Organic Search,,,CUST-013252,Purchase,1495.20
CONV-000064,ORD-011719,2024-02-01,France,Google Ads,CAMP-FR-GGL-010,Home Decor Search FR,CUST-009908,Purchase,1080.57
CONV-000065,ORD-001578,2024-01-17,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,CUST-008933,Purchase,2773.53
CONV-000066,ORD-001592,2024-12-30,France,Email Marketing,CAMP-FR-EML-028,Product Launch FR,CUST-010117,Purchase,833.42
CONV-000067,ORD-001638,2024-09-06,France,Email Marketing,CAMP-FR-EML-020,Loyal Customer Offer FR,CUST-014846,Purchase,357.42
CONV-000068,ORD-006390,2024-02-23,France,Google Ads,CAMP-FR-GGL-010,Home Decor Search FR,CUST-005547,Purchase,1466.91
CONV-000069,ORD-010906,2024-12-24,France,Organic Search,,,CUST-011300,Purchase,796.03
CONV-000070,ORD-000620,2024-11-15,France,Organic Search,,,CUST-017326,Purchase,344.03
CONV-000071,ORD-009213,2024-02-03,France,Google Ads,CAMP-FR-GGL-027,Brand Search FR,CUST-019901,Purchase,343.65
CONV-000072,ORD-012108,2024-04-11,France,Google Ads,CAMP-FR-GGL-034,Furniture Search FR,CUST-007724,Purchase,1839.50
CONV-000073,ORD-004578,2024-07-12,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-015991,Purchase,1303.77
CONV-000074,ORD-013112,2024-01-07,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,CUST-015696,Purchase,106.21
CONV-000075,ORD-013125,2024-08-11,Spain,Meta Ads,CAMP-ES-MTA-045,Black Friday Campaign ES,CUST-012645,Purchase,2279.05
CONV-000076,ORD-000241,2024-12-16,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,CUST-017709,Purchase,961.93
CONV-000077,ORD-004729,2024-04-22,Spain,Organic Search,,,CUST-014902,Purchase,622.99
CONV-000078,ORD-013547,2024-01-27,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,CUST-012411,Purchase,503.06
CONV-000079,ORD-003558,2024-02-04,Portugal,Google Ads,CAMP-PT-GGL-024,Christmas Search PT,CUST-007324,Purchase,644.23
CONV-000080,ORD-010856,2024-08-10,Spain,Meta Ads,CAMP-ES-MTA-014,Spain Expansion ES,CUST-019270,Purchase,217.85
CONV-000081,ORD-006719,2024-09-08,France,Email Marketing,CAMP-FR-EML-028,Product Launch FR,CUST-019875,Assisted Purchase,645.73
CONV-000082,ORD-004501,2024-11-19,Spain,Email Marketing,CAMP-ES-EML-048,Welcome Series ES,CUST-019075,Purchase,1051.38
CONV-000083,ORD-012655,2024-12-15,France,Organic Search,,,CUST-016300,Purchase,365.25
CONV-000084,ORD-013323,2024-04-18,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-008314,Purchase,144.67
CONV-000085,ORD-002807,2024-05-17,Portugal,Meta Ads,CAMP-PT-MTA-025,Summer Living PT,CUST-004401,Assisted Purchase,575.69
CONV-000086,ORD-008388,2024-12-22,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,CUST-003081,Purchase,111.85
CONV-000087,ORD-006093,2024-09-08,Portugal,Google Ads,CAMP-PT-GGL-031,Brand Search PT,CUST-007776,Purchase,690.19
CONV-000088,ORD-009120,2024-07-13,Portugal,Direct,,,CUST-011928,Purchase,1247.71
CONV-000089,ORD-003930,2024-02-13,Spain,Organic Search,,,CUST-010729,Purchase,2578.67
CONV-000090,ORD-000910,2024-12-08,France,Email Marketing,CAMP-FR-EML-042,Newsletter FR,CUST-015761,Purchase,1733.90
CONV-000091,ORD-012467,2024-12-01,France,Organic Search,,,CUST-017472,Purchase,496.18
CONV-000092,ORD-000660,2024-01-15,France,Organic Search,,,CUST-007132,Purchase,1145.41
CONV-000093,ORD-009297,2024-12-18,France,Email Marketing,CAMP-FR-EML-028,Product Launch FR,CUST-018099,Assisted Purchase,1409.61
CONV-000094,ORD-INVALID-000093,2024-09-05,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-009357,Assisted Purchase,1171.62
CONV-000095,ORD-008321,2024-06-03,France,Meta Ads,CAMP-FR-MTA-011,Spring Collection FR,CUST-010495,Purchase,565.36
CONV-000096,ORD-008128,2024-03-15,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-014103,Purchase,1628.21
CONV-000097,ORD-007959,2024-01-23,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,CUST-004335,Purchase,1173.94
CONV-000098,ORD-000600,2024-02-06,France,Email Marketing,CAMP-FR-EML-028,Product Launch FR,CUST-013108,Purchase,842.09
CONV-000099,ORD-011330,2024-03-17,France,Organic Search,,,CUST-014567,Purchase,4075.61
CONV-000100,ORD-001384,2024-07-02,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,CUST-002948,Purchase,669.60
CONV-000101,ORD-009517,2024-10-08,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,CUST-019181,Purchase,419.04
CONV-000102,ORD-007122,2024-09-21,Spain,Google Ads,CAMP-ES-GGL-049,Christmas Search ES,CUST-003773,Purchase,579.49
CONV-000103,ORD-008457,2024-11-15,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-004840,Purchase,729.46
CONV-000104,ORD-000927,2024-12-30,France,Direct,,,CUST-007884,Purchase,469.86
CONV-000105,ORD-005368,2024-05-03,France,Meta Ads,CAMP-FR-MTA-019,Summer Living FR,CUST-013576,Purchase,1332.34
CONV-000106,ORD-011592,2024-04-05,France,Organic Search,,,CUST-007038,Purchase,1580.65
CONV-000107,ORD-003306,2024-01-02,France,Direct,,,CUST-014550,Purchase,2136.83
CONV-000108,ORD-INVALID-000107,2024-11-27,FR,Direct,,,CUST-000510,Purchase,823.01
CONV-000109,ORD-011509,2024-11-25,Spain,Meta Ads,CAMP-ES-MTA-045,Black Friday Campaign ES,CUST-001122,Purchase,759.12
CONV-000110,ORD-004416,2024-05-19,France,Direct,,,CUST-013550,Purchase,1706.21
CONV-000111,ORD-009210,2024-01-25,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,CUST-017265,Purchase,1016.97
CONV-000112,ORD-001972,2024-12-19,Spain,Google Ads,CAMP-ES-GGL-049,Christmas Search ES,CUST-005253,Purchase,2079.11
CONV-000113,ORD-001058,2024-12-26,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-017835,Purchase,2479.82
CONV-000114,ORD-012176,2024-11-29,Spain,Organic Search,,,CUST-013831,Purchase,455.22
CONV-000115,ORD-007635,2024-12-27,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-002926,Purchase,3404.65
CONV-000116,ORD-003051,2024-07-26,Spain,Meta Ads,CAMP-ES-MTA-014,Spain Expansion ES,CUST-014625,Purchase,76.44
CONV-000117,ORD-006391,2024-12-28,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-018595,Purchase,363.13
CONV-000118,ORD-000710,2024-11-10,France,Email Marketing,CAMP-FR-EML-028,Product Launch FR,CUST-006895,Purchase,616.54
CONV-000119,ORD-007581,2024-12-24,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-005661,Purchase,642.22
CONV-000120,ORD-005891,2024-12-23,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-019066,Purchase,1737.45
CONV-000121,ORD-006347,2024-11-29,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,CUST-012769,Purchase,1219.55
CONV-000122,ORD-001672,2024-05-20,France,Google Ads,CAMP-FR-GGL-027,Brand Search FR,CUST-019087,Purchase,807.78
CONV-000123,ORD-000693,2024-10-12,France,Google Ads,CAMP-FR-GGL-034,Furniture Search FR,CUST-008629,Purchase,407.84
CONV-000124,ORD-013571,2024-08-05,France,Meta Ads,CAMP-FR-MTA-011,Spring Collection FR,CUST-009162,Purchase,170.76
CONV-000125,ORD-003591,2024-09-21,France,Google Ads,CAMP-FR-GGL-010,Home Decor Search FR,CUST-002106,Assisted Purchase,2764.82
CONV-000126,ORD-002659,2024-05-04,Spain,Google Ads,CAMP-ES-GGL-021,Black Friday Search ES,CUST-014554,Purchase,713.01
CONV-000127,ORD-008174,2024-07-26,France,Direct,,,CUST-015230,Purchase,338.22
CONV-000128,ORD-006622,2024-07-29,France,Organic Search,,,CUST-014162,Purchase,2383.41
CONV-000129,ORD-006425,2024-11-11,Spain,Email Marketing,CAMP-ES-EML-015,Seasonal Promotion ES,CUST-003170,Purchase,1042.19
CONV-000130,ORD-001609,2024-11-26,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-010975,Purchase,584.24
CONV-000131,ORD-007895,2024-11-23,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,CUST-012042,Purchase,385.30
CONV-000132,ORD-010864,2024-08-28,France,Meta Ads,CAMP-FR-MTA-019,Summer Living FR,CUST-019271,Assisted Purchase,484.79
CONV-000133,ORD-009251,2024-12-07,Spain,Meta Ads,CAMP-ES-MTA-022,Christmas Inspiration ES,CUST-016312,Purchase,385.68
CONV-000134,ORD-006790,2024-12-09,Portugal,Meta Ads,CAMP-PT-MTA-044,Christmas Inspiration PT,CUST-006148,Purchase,1282.80
CONV-000135,ORD-010373,2024-07-24,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-019377,Purchase,597.85
CONV-000136,ORD-012230,2024-08-28,France,Direct,,,CUST-005926,Purchase,836.46
CONV-000137,ORD-011480,2024-06-18,France,Organic Search,,,CUST-000545,Assisted Purchase,902.10
CONV-000138,ORD-000320,2024-09-23,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,CUST-007856,Purchase,1048.48
CONV-000139,ORD-010545,2024-10-28,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-016134,Purchase,1314.77
CONV-000140,ORD-011203,2024-11-26,France,Email Marketing,CAMP-FR-EML-042,Newsletter FR,CUST-007316,Purchase,366.41
CONV-000141,ORD-007207,2024-10-07,France,Organic Search,,,CUST-000869,Purchase,618.76
CONV-000142,ORD-011691,2024-03-29,France,Organic Search,,,CUST-017357,Purchase,2042.74
CONV-000143,ORD-003371,2024-02-14,France,Email Marketing,CAMP-FR-EML-042,Newsletter FR,CUST-001351,Purchase,1266.89
CONV-000144,ORD-004937,2024-11-01,Portugal,Google Ads,CAMP-PT-GGL-016,Black Friday Search PT,CUST-018238,Purchase,223.41
CONV-000145,ORD-013069,2024-04-27,France,Organic Search,,,CUST-007675,Purchase,771.82
CONV-000146,ORD-005372,2024-01-24,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,CUST-012898,Purchase,287.70
CONV-000147,ORD-006002,2024-12-19,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-014468,Purchase,298.14
CONV-000148,ORD-008635,2024-12-10,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-011514,Purchase,1287.18
CONV-000149,ORD-005890,2024-04-02,France,Google Ads,CAMP-FR-GGL-027,Brand Search FR,CUST-009244,Purchase,1239.24
CONV-000150,ORD-010717,2024-07-14,France,Organic Search,,,CUST-013658,Purchase,975.46
CONV-000151,ORD-008527,2024-07-30,Portugal,Organic Search,,,CUST-001251,Purchase,2553.40
CONV-000151,ORD-INVALID-000151,2024-08-25,France,Direct,,,CUST-000812,Purchase,1093.76
CONV-000153,ORD-007370,2024-03-17,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,CUST-007639,Purchase,1145.77
CONV-000154,ORD-012635,2024-12-05,France,Direct,,,CUST-018193,Purchase,1090.87
CONV-000155,ORD-002752,2024-12-08,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-014286,Purchase,716.09
CONV-000156,ORD-005542,2024-04-26,Spain,Organic Search,,,CUST-004138,Assisted Purchase,630.89
CONV-000157,ORD-000594,2024-03-18,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-002308,Purchase,2049.01
CONV-000158,ORD-000981,2024-01-13,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,CUST-019195,Purchase,1193.79
CONV-000159,ORD-001201,2024-12-06,France,Email Marketing,CAMP-FR-EML-028,Product Launch FR,CUST-017925,Purchase,226.49
CONV-000160,ORD-004329,2024-02-22,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-001606,Purchase,877.66
CONV-000161,ORD-006976,2024-12-15,Spain,Google Ads,CAMP-ES-GGL-049,Christmas Search ES,CUST-010397,Assisted Purchase,2814.15
CONV-000162,ORD-007123,2024-04-20,France,Email Marketing,CAMP-FR-EML-042,Newsletter FR,CUST-001310,Purchase,275.77
CONV-000163,ORD-006373,2024-12-04,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-005440,Purchase,413.31
CONV-000164,ORD-012163,2024-06-14,France,Google Ads,CAMP-FR-GGL-034,Furniture Search FR,CUST-001595,Purchase,166.24
CONV-000165,ORD-013315,2024-07-02,France,Email Marketing,CAMP-FR-EML-012,Seasonal Promotion FR,CUST-009483,Purchase,550.15
CONV-000166,ORD-011993,2024-10-21,France,Direct,,,CUST-011422,Purchase,742.84
CONV-000167,ORD-003547,2024-02-14,Spain,Organic Search,,,CUST-007024,Purchase,920.64
CONV-000168,ORD-007104,2024-06-14,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-019991,Purchase,476.58
CONV-000169,ORD-000393,2024-01-21,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,CUST-008677,Purchase,556.31
CONV-000170,ORD-004928,2024-05-06,Portugal,Google Ads,CAMP-PT-GGL-024,Christmas Search PT,CUST-005757,Purchase,648.77
CONV-000171,ORD-006098,2024-07-17,Spain,Google Ads,CAMP-ES-GGL-049,Christmas Search ES,CUST-000832,Purchase,934.65
CONV-000172,ORD-001319,2024-06-29,Portugal,Meta Ads,CAMP-PT-MTA-025,Summer Living PT,CUST-012079,Purchase,1819.40
CONV-000173,ORD-012891,2024-05-14,Portugal,Google Ads,CAMP-PT-GGL-031,Brand Search PT,CUST-015418,Assisted Purchase,496.98
CONV-000174,ORD-003541,2024-10-21,France,Google Ads,CAMP-FR-GGL-027,Brand Search FR,CUST-006073,Purchase,678.71
CONV-000175,ORD-003901,2024-12-31,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-011570,Purchase,132.51
CONV-000176,ORD-004327,2024-05-06,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-013697,Purchase,711.79
CONV-000177,ORD-005010,2024-10-07,Portugal,Meta Ads,CAMP-PT-MTA-044,Christmas Inspiration PT,CUST-013556,Purchase,773.05
CONV-000178,ORD-001699,2024-11-10,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-010285,Assisted Purchase,2388.19
CONV-000179,ORD-004341,2024-11-10,Spain,Meta Ads,CAMP-ES-MTA-045,Black Friday Campaign ES,CUST-009907,Purchase,531.45
CONV-000180,ORD-005965,2024-05-20,France,Direct,,,CUST-002827,Purchase,888.42
CONV-000181,ORD-007456,2024-05-12,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,CUST-004430,Purchase,1471.89
CONV-000182,ORD-012553,2024-12-22,France,Organic Search,,,CUST-013411,Purchase,299.68
CONV-000183,ORD-006655,2024-07-17,France,Google Ads,CAMP-FR-GGL-027,Brand Search FR,CUST-004717,Assisted Purchase,1264.80
CONV-000184,ORD-003878,2024-10-03,Spain,Meta Ads,CAMP-ES-MTA-029,Summer Living ES,CUST-005857,Purchase,1520.15
CONV-000185,ORD-009735,2024-10-08,France,Google Ads,CAMP-FR-GGL-010,Home Decor Search FR,CUST-013008,Purchase,1183.10
CONV-000186,ORD-001407,2024-10-27,France,Email Marketing,CAMP-FR-EML-028,Product Launch FR,CUST-008531,Purchase,1787.16
CONV-000187,ORD-007461,2024-07-30,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-015004,Purchase,2827.87
CONV-000188,ORD-006350,2024-12-16,France,Direct,,,CUST-015731,Purchase,101.06
CONV-000189,ORD-012444,2024-02-20,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-017536,Purchase,1363.65
CONV-000190,ORD-007164,2024-11-22,France,Google Ads,CAMP-FR-GGL-041,Black Friday Search FR,CUST-000852,Purchase,1160.82
CONV-000191,ORD-001876,2024-01-01,France,Direct,,,CUST-016155,Purchase,1272.66
CONV-000192,ORD-000046,2024-07-06,France,Email Marketing,CAMP-FR-EML-012,Seasonal Promotion FR,CUST-014553,Purchase,1885.97
CONV-000193,ORD-009713,2024-10-15,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,CUST-002681,Purchase,858.20
CONV-000194,ORD-002479,2024-10-11,Spain,Organic Search,,,CUST-000586,Purchase,3205.04
CONV-000195,ORD-001904,2024-06-08,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-012811,Purchase,200.95
CONV-000196,ORD-002225,2024-09-13,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-018846,Purchase,554.20
CONV-000197,ORD-000841,2024-01-04,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,CUST-002637,Purchase,1465.65
CONV-000198,ORD-006066,2024-03-22,France,Organic Search,,,CUST-006056,Purchase,2503.77
CONV-000199,ORD-000606,2024-07-14,Portugal,Meta Ads,CAMP-PT-MTA-025,Summer Living PT,CUST-015820,Purchase,1309.29
CONV-000200,ORD-012961,2024-12-09,France,Organic Search,,,CUST-019890,Purchase,1243.30
CONV-000201,ORD-006884,2024-11-18,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-000717,Purchase,322.96
CONV-000202,ORD-012895,2024-12-20,Portugal,Google Ads,CAMP-PT-GGL-024,Christmas Search PT,CUST-018618,Purchase,142.16
CONV-000203,ORD-012794,2024-11-30,Spain,Meta Ads,CAMP-ES-MTA-045,Black Friday Campaign ES,CUST-001189,Purchase,551.21
CONV-000204,ORD-007561,2024-01-01,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,CUST-004546,Purchase,471.44
CONV-000205,ORD-011351,2024-09-03,Spain,Direct,,,CUST-010123,Purchase,1187.77
CONV-000206,ORD-013313,2024-03-28,France,Meta Ads,CAMP-FR-MTA-019,Summer Living FR,CUST-004119,Assisted Purchase,1233.34
CONV-000207,ORD-001404,2024-12-25,France,Email Marketing,CAMP-FR-EML-042,Newsletter FR,CUST-002564,Purchase,520.98
CONV-000208,ORD-011379,2024-03-14,France,Organic Search,,,CUST-015253,Purchase,831.91
CONV-000209,ORD-001207,2024-12-21,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,CUST-012595,Purchase,142.14
CONV-000210,ORD-003796,2024-07-26,France,Email Marketing,CAMP-FR-EML-028,Product Launch FR,CUST-005079,Purchase,1082.06
CONV-000211,ORD-013458,2024-12-13,France,Direct,,,CUST-008696,Purchase,288.92
CONV-000212,ORD-008032,2024-07-28,France,Email Marketing,CAMP-FR-EML-020,Loyal Customer Offer FR,CUST-009077,Assisted Purchase,428.35
CONV-000213,ORD-000637,2024-12-29,France,Organic Search,,,CUST-003589,Purchase,1017.33
CONV-000214,ORD-011697,2024-01-08,Portugal,Organic Search,,,CUST-005219,Purchase,348.91
