postal_code,city,region,country
57947,Metz,"Grand Est",FRANCE
54655,Nancy,"Grand Est",FRANCE
42704,Saint-Étienne,Auvergne-Rhône-Alpes,FRANCE
84570,Avignon,"Provence-Alpes-Côte d’Azur",FRANCE
74224,Annecy,Auvergne-Rhône-Alpes,FRANCE
17701,"La Rochelle",Nouvelle-Aquitaine,FRANCE
75006,Paris,Île-de-France,FRANCE
69006,Lyon,Auvergne-Rhône-Alpes,FRANCE
13006,Marseille,"Provence-Alpes-Côte d’Azur",FRANCE
33332,Bordeaux,Nouvelle-Aquitaine,FRANCE
31863,Toulouse,Occitanie,FRANCE
44786,Nantes,"Pays de la Loire",FRANCE
59794,Lille,Hauts-de-France,FRANCE
06057,Nice,"Provence-Alpes-Côte d’Azur",FRANCE
67234,Strasbourg,"Grand Est",FRANCE
34841,Montpellier,Occitanie,FRANCE
35032,Rennes,Bretagne,FRANCE
38824,Grenoble,Auvergne-Rhône-Alpes,FRANCE
21323,Dijon,Bourgogne-Franche-Comté,FRANCE
51410,Reims,"Grand Est",FRANCE
76274,Rouen,Normandie,FRANCE
37067,Tours,"Centre-Val de Loire",FRANCE
49216,Angers,"Pays de la Loire",FRANCE
63935,Clermont-Ferrand,Auvergne-Rhône-Alpes,FRANCE
13965,Aix-en-Provence,"Provence-Alpes-Côte d’Azur",FRANCE
29580,Brest,Bretagne,FRANCE
14897,Caen,Normandie,FRANCE
45735,Orléans,"Centre-Val de Loire",FRANCE
57322,Metz,"Grand Est",FRANCE
54217,Nancy,"Grand Est",FRANCE
42671,Saint-Étienne,Auvergne-Rhône-Alpes,FRANCE
84511,Avignon,"Provence-Alpes-Côte d’Azur",FRANCE
74405,Annecy,Auvergne-Rhône-Alpes,FRANCE
17905,"La Rochelle",Nouvelle-Aquitaine,FRANCE
75007,Paris,Île-de-France,FRANCE
69007,Lyon,Auvergne-Rhône-Alpes,FRANCE
13007,Marseille,"Provence-Alpes-Côte d’Azur",FRANCE
33936,Bordeaux,Nouvelle-Aquitaine,FRANCE
31658,Toulouse,Occitanie,FRANCE
44469,Nantes,"Pays de la Loire",FRANCE
59146,Lille,Hauts-de-France,FRANCE
06271,Nice,"Provence-Alpes-Côte d’Azur",FRANCE
67142,Strasbourg,"Grand Est",FRANCE
34252,Montpellier,Occitanie,FRANCE
35762,Rennes,Bretagne,FRANCE
38574,Grenoble,Auvergne-Rhône-Alpes,FRANCE
21551,Dijon,Bourgogne-Franche-Comté,FRANCE
51269,Reims,"Grand Est",FRANCE
76764,Rouen,Normandie,FRANCE
37598,Tours,"Centre-Val de Loire",FRANCE
49438,Angers,"Pays de la Loire",FRANCE
63919,Clermont-Ferrand,Auvergne-Rhône-Alpes,FRANCE
13597,Aix-en-Provence,"Provence-Alpes-Côte d’Azur",FRANCE
29408,Brest,Bretagne,FRANCE
14370,Caen,Normandie,FRANCE
45224,Orléans,"Centre-Val de Loire",FRANCE
57141,Metz,"Grand Est",FRANCE
54521,Nancy,"Grand Est",FRANCE
42505,Saint-Étienne,Auvergne-Rhône-Alpes,FRANCE
84093,Avignon,"Provence-Alpes-Côte d’Azur",FRANCE
74773,Annecy,Auvergne-Rhône-Alpes,FRANCE
17048,"La Rochelle",Nouvelle-Aquitaine,FRANCE
75008,Paris,Île-de-France,FRANCE
69008,Lyon,Auvergne-Rhône-Alpes,FRANCE
13008,Marseille,"Provence-Alpes-Côte d’Azur",FRANCE
33881,Bordeaux,Nouvelle-Aquitaine,FRANCE
31112,Toulouse,Occitanie,FRANCE
44156,Nantes,"Pays de la Loire",FRANCE
59642,Lille,Hauts-de-France,FRANCE
06163,Nice,"Provence-Alpes-Côte d’Azur",FRANCE
67811,Strasbourg,"Grand Est",FRANCE
34696,Montpellier,Occitanie,FRANCE
35432,Rennes,Bretagne,FRANCE
38610,Grenoble,Auvergne-Rhône-Alpes,FRANCE
21065,Dijon,Bourgogne-Franche-Comté,FRANCE
51394,Reims,"Grand Est",FRANCE
76390,Rouen,Normandie,FRANCE
37610,Tours,"Centre-Val de Loire",FRANCE
49479,Angers,"Pays de la Loire",FRANCE
63541,Clermont-Ferrand,Auvergne-Rhône-Alpes,FRANCE
13257,Aix-en-Provence,"Provence-Alpes-Côte d’Azur",FRANCE
29994,Brest,Bretagne,FRANCE
14566,Caen,Normandie,FRANCE
45881,Orléans,"Centre-Val de Loire",FRANCE
57965,Metz,"Grand Est",FRANCE
54011,Nancy,"Grand Est",FRANCE
42696,Saint-Étienne,Auvergne-Rhône-Alpes,FRANCE
84738,Avignon,"Provence-Alpes-Côte d’Azur",FRANCE
74117,Annecy,Auvergne-Rhône-Alpes,FRANCE
17698,"La Rochelle",Nouvelle-Aquitaine,FRANCE
75009,Paris,Île-de-France,FRANCE
69009,Lyon,Auvergne-Rhône-Alpes,FRANCE
13009,Marseille,"Provence-Alpes-Côte d’Azur",FRANCE
31549,Toulouse,Occitanie,FRANCE
44768,Nantes,"Pays de la Loire",FRANCE
06787,Nice,"Provence-Alpes-Côte d’Azur",FRANCE
67656,Strasbourg,"Grand Est",FRANCE
34348,Montpellier,Occitanie,FRANCE
35114,Rennes,Bretagne,FRANCE
38300,Grenoble,Auvergne-Rhône-Alpes,FRANCE
21445,Dijon,Bourgogne-Franche-Comté,FRANCE
51161,Reims,"Grand Est",FRANCE
76464,Rouen,Normandie,FRANCE
37003,Tours,"Centre-Val de Loire",FRANCE
49976,Angers,"Pays de la Loire",FRANCE
63739,Clermont-Ferrand,Auvergne-Rhône-Alpes,FRANCE
13896,Aix-en-Provence,"Provence-Alpes-Côte d’Azur",FRANCE
29736,Brest,Bretagne,FRANCE
14269,Caen,Normandie,FRANCE
45995,Orléans,"Centre-Val de Loire",FRANCE
57512,Metz,"Grand Est",FRANCE
54780,Nancy,"Grand Est",FRANCE
42182,Saint-Étienne,Auvergne-Rhône-Alpes,FRANCE
84519,Avignon,"Provence-Alpes-Côte d’Azur",FRANCE
74934,Annecy,Auvergne-Rhône-Alpes,FRANCE
17108,"La Rochelle",Nouvelle-Aquitaine,FRANCE
75010,Paris,Île-de-France,FRANCE
69010,Lyon,Auvergne-Rhône-Alpes,FRANCE
13010,Marseille,"Provence-Alpes-Côte d’Azur",FRANCE
33891,Bordeaux,Nouvelle-Aquitaine,FRANCE
31640,Toulouse,Occitanie,FRANCE
44305,Nantes,"Pays de la Loire",FRANCE
59861,Lille,Hauts-de-France,FRANCE
06654,Nice,"Provence-Alpes-Côte d’Azur",FRANCE
67519,Strasbourg,"Grand Est",FRANCE
34623,Montpellier,Occitanie,FRANCE
35203,Rennes,Bretagne,FRANCE
38156,Grenoble,Auvergne-Rhône-Alpes,FRANCE
21382,Dijon,Bourgogne-Franche-Comté,FRANCE
51780,Reims,"Grand Est",FRANCE
76165,Rouen,Normandie,FRANCE
37552,Tours,"Centre-Val de Loire",FRANCE
63797,Clermont-Ferrand,Auvergne-Rhône-Alpes,FRANCE
13944,Aix-en-Provence,"Provence-Alpes-Côte d’Azur",FRANCE
29543,Brest,Bretagne,FRANCE
14940,Caen,Normandie,FRANCE
45000,Orléans,"Centre-Val de Loire",FRANCE
57613,Metz,"Grand Est",FRANCE
54331,Nancy,"Grand Est",FRANCE
42500,Saint-Étienne,Auvergne-Rhône-Alpes,FRANCE
84019,Avignon,"Provence-Alpes-Côte d’Azur",FRANCE
74114,Annecy,Auvergne-Rhône-Alpes,FRANCE
17951,"La Rochelle",Nouvelle-Aquitaine,FRANCE
75011,Paris,Île-de-France,FRANCE
69011,Lyon,Auvergne-Rhône-Alpes,FRANCE
13011,Marseille,"Provence-Alpes-Côte d’Azur",FRANCE
33371,Bordeaux,Nouvelle-Aquitaine,FRANCE
28899,Madrid,"Community of Madrid",SPAIN
08851,Barcelona,Catalonia,SPAIN
46826,Valencia,"Valencian Community",SPAIN
41314,Seville,Andalusia,SPAIN
29245,Malaga,Andalusia,SPAIN
48059,Bilbao,"Basque Country",SPAIN
50246,Zaragoza,Aragon,SPAIN
03899,Alicante,"Valencian Community",SPAIN
30580,Murcia,"Region of Murcia",SPAIN
18969,Granada,Andalusia,SPAIN
14080,Cordoba,Andalusia,SPAIN
47087,Valladolid,"Castile and León",SPAIN
36749,Vigo,Galicia,SPAIN
33497,Gijon,Asturias,SPAIN
15835,"A Coruña",Galicia,SPAIN
07070,Palma,"Balearic Islands",SPAIN
28778,Madrid,"Community of Madrid",SPAIN
08545,Barcelona,Catalonia,SPAIN
46784,Valencia,"Valencian Community",SPAIN
41128,Seville,Andalusia,SPAIN
29131,Malaga,Andalusia,SPAIN
48675,Bilbao,"Basque Country",SPAIN
50486,Zaragoza,Aragon,SPAIN
03969,Alicante,"Valencian Community",SPAIN
30562,Murcia,"Region of Murcia",SPAIN
18169,Granada,Andalusia,SPAIN
14271,Cordoba,Andalusia,SPAIN
47540,Valladolid,"Castile and León",SPAIN
36893,Vigo,Galicia,SPAIN
33621,Gijon,Asturias,SPAIN
15433,"A Coruña",Galicia,SPAIN
07987,Palma,"Balearic Islands",SPAIN
28216,Madrid,"Community of Madrid",SPAIN
08951,Barcelona,Catalonia,SPAIN
46552,Valencia,"Valencian Community",SPAIN
41773,Seville,Andalusia,SPAIN
29747,Malaga,Andalusia,SPAIN
48706,Bilbao,"Basque Country",SPAIN
50205,Zaragoza,Aragon,SPAIN
03730,Alicante,"Valencian Community",SPAIN
30319,Murcia,"Region of Murcia",SPAIN
18408,Granada,Andalusia,SPAIN
14687,Cordoba,Andalusia,SPAIN
47665,Valladolid,"Castile and León",SPAIN
36382,Vigo,Galicia,SPAIN
33448,Gijon,Asturias,SPAIN
15921,"A Coruña",Galicia,SPAIN
07529,Palma,"Balearic Islands",SPAIN
28462,Madrid,"Community of Madrid",SPAIN
08123,Barcelona,Catalonia,SPAIN
46253,Valencia,"Valencian Community",SPAIN
41230,Seville,Andalusia,SPAIN
29065,Malaga,Andalusia,SPAIN
48346,Lisbon,"Basque Country",SPAIN
50021,Zaragoza,Aragon,SPAIN
03602,Alicante,"Valencian Community",SPAIN
30567,Murcia,"Region of Murcia",SPAIN
18235,Granada,Andalusia,SPAIN
14602,Cordoba,Andalusia,SPAIN
47225,Valladolid,"Castile and León",SPAIN
36007,Vigo,Galicia,SPAIN
33072,Gijon,Asturias,SPAIN
15724,"A Coruña",Galicia,SPAIN
07646,Palma,"Balearic Islands",SPAIN
28060,Madrid,"Community of Madrid",SPAIN
08234,Barcelona,Catalonia,SPAIN
46069,Valencia,"Valencian Community",SPAIN
41927,Seville,Andalusia,SPAIN
29032,Malaga,Andalusia,SPAIN
48880,Bilbao,"Basque Country",SPAIN
50338,Zaragoza,Aragon,SPAIN
03072,Alicante,"Valencian Community",SPAIN
30526,Murcia,"Region of Murcia",SPAIN
18243,Granada,Andalusia,SPAIN
14285,Cordoba,Andalusia,SPAIN
47685,Valladolid,"Castile and León",SPAIN
36497,Vigo,Galicia,SPAIN
33219,Gijon,Asturias,SPAIN
15552,"A Coruña",Galicia,SPAIN
07135,Palma,"Balearic Islands",SPAIN
1092-957,Lisbon,"Lisbon District",PORTUGAL
4073-590,Porto,"Porto District",PORTUGAL
4760-248,Braga,"Braga District",PORTUGAL
8060-826,Faro,"Faro District",PORTUGAL
3052-194,Coimbra,"Coimbra District",PORTUGAL
3812-099,Aveiro,"Aveiro District",PORTUGAL
2984-441,Setubal,"Setubal District",PORTUGAL
2445-433,Leiria,"Leiria District",PORTUGAL
3552-478,Viseu,"Viseu District",PORTUGAL
7093-055,Evora,"Evora District",PORTUGAL
1086-669,Lisbon,"Lisbon District",PORTUGAL
4082-100,Porto,"Porto District",PORTUGAL
4707-412,Braga,"Braga District",PORTUGAL
8093-347,Faro,"Faro District",PORTUGAL
3013-254,Coimbra,"Coimbra District",PORTUGAL
3824-194,Aveiro,"Aveiro District",PORTUGAL
2968-459,Setubal,"Setubal District",PORTUGAL
2417-432,Leiria,"Leiria District",PORTUGAL
3523-285,Viseu,"Viseu District",PORTUGAL
7059-255,Evora,"Evora District",PORTUGAL
1009-453,Lisbon,"Lisbon District",PORTUGAL
4070-100,Porto,"Porto District",PORTUGAL
4706-667,Braga,"Braga District",PORTUGAL
8069-856,Faro,"Faro District",PORTUGAL
3001-992,Coimbra,"Coimbra District",PORTUGAL
3811-948,Aveiro,"Aveiro District",PORTUGAL
2996-869,Setubal,"Setubal District",PORTUGAL
2430-170,Leiria,"Leiria District",PORTUGAL
3552-497,Viseu,"Viseu District",PORTUGAL
7061-218,Evora,"Evora District",PORTUGAL
1051-924,Lisbon,"Lisbon District",PORTUGAL
4007-168,Porto,"Porto District",PORTUGAL
4748-002,Braga,"Braga District",PORTUGAL
8049-271,Faro,"Faro District",PORTUGAL
3058-292,Coimbra,"Coimbra District",PORTUGAL
3854-713,Aveiro,"Aveiro District",PORTUGAL
2993-802,Setubal,"Setubal District",PORTUGAL
2471-677,Leiria,"Leiria District",PORTUGAL
3591-498,Viseu,"Viseu District",PORTUGAL
7019-194,Evora,"Evora District",PORTUGAL
