order_id,order_line_id,order_date,customer_id,product_id,country,ship_date,delivery_date,ship_mode,quantity,unit_price,discount,gross_sales,discount_amount,net_sales,cogs,return_Amount,return_quantity,net_revenue_after_returns,adjusted_gross_profit
ORD-000006,LINE-000014,2024-11-03,CUST-012079,NVA-TXT-0092,PORTUGAL,2024-11-05,2024-11-12,Standard,1,225.32,0.30,225.32,67.5960,157.72,32.35,0.00,0,157.72,125.37
ORD-000007,LINE-000015,2024-09-19,CUST-007140,NVA-FUR-0001,FRANCE,2024-09-20,2024-09-22,Standard,1,428.28,0.09,428.28,38.5452,389.73,267.60,0.00,0,389.73,122.13
ORD-000008,LINE-000016,2024-04-05,CUST-016833,NVA-SEA-0010,SPAIN,2024-04-07,2024-04-10,Standard,1,515.48,0.00,515.48,0.0000,515.48,20.64,0.00,0,515.48,494.84
ORD-000009,LINE-000017,2024-11-19,CUST-010520,NVA-KDN-0019,FRANCE,2024-11-19,2024-11-23,Standard,2,1036.92,0.24,2073.84,497.7216,1576.12,110.28,0.00,0,1576.12,1465.84
ORD-000010,LINE-000018,2024-06-23,CUST-009874,NVA-KDN-0014,FRANCE,2024-06-23,2024-06-26,Express,1,360.06,0.14,360.06,50.4084,309.65,32.21,0.00,0,309.65,277.44
ORD-000010,LINE-000019,2024-06-23,CUST-009874,NVA-KDN-0023,FRANCE,2024-06-23,2024-06-26,Express,1,388.56,0.15,388.56,58.2840,330.28,26.55,330.28,1,0.00,-26.55
ORD-000011,LINE-000020,2024-11-10,CUST-017807,NVA-FUR-0032,FRANCE,2024-11-11,2024-11-13,Standard,1,363.76,0.36,363.76,130.9536,232.81,227.54,0.00,0,232.81,5.27
ORD-000012,LINE-000021,2024-03-24,CUST-012921,NVA-KDN-0024,FRANCE,2024-03-25,2024-03-30,Standard,2,201.01,0.00,402.02,0.0000,402.02,48.68,0.00,0,402.02,353.34
ORD-000012,LINE-000022,2024-03-24,CUST-012921,NVA-DEC-0101,FRANCE,2024-03-25,2024-03-30,Standard,1,180.70,0.06,180.70,10.8420,169.86,13.03,0.00,0,169.86,156.83
ORD-000013,LINE-000023,2024-10-04,CUST-007432,NVA-DEC-0123,PORTUGAL,2024-10-05,2024-10-08,Standard,1,130.15,0.00,130.15,0.0000,130.15,12.53,0.00,0,130.15,117.62
ORD-000013,LINE-000024,2024-10-04,CUST-007432,NVA-LGT-0061,PORTUGAL,2024-10-05,2024-10-08,Standard,1,132.51,0.04,132.51,5.3004,127.21,50.31,0.00,0,127.21,76.90
ORD-000014,LINE-000025,2024-03-27,CUST-001340,NVA-FUR-0036,FRANCE,2024-03-28,2024-03-31,Standard,1,197.74,0.00,197.74,0.0000,197.74,164.82,0.00,0,197.74,32.92
ORD-000014,LINE-000026,2024-03-27,CUST-001340,NVA-DEC-0025,FRANCE,2024-03-28,2024-03-31,Standard,1,120.29,0.02,120.29,2.4058,117.88,8.30,0.00,0,117.88,109.58
ORD-000014,LINE-000027,2024-03-27,CUST-001340,NVA-LGT-0057,FRANCE,2024-03-28,2024-03-31,Standard,1,261.65,0.00,261.65,0.0000,261.65,53.95,0.00,0,261.65,207.70
ORD-000015,LINE-000028,2024-11-05,CUST-011531,NVA-LGT-0067,FRANCE,2024-11-06,2024-11-09,Standard,1,540.78,0.28,540.78,151.4184,389.36,115.88,0.00,0,389.36,273.48
ORD-000016,LINE-000029,2024-01-14,CUST-012000,NVA-DEC-0081,PORTUGAL,2024-01-14,2024-01-20,Standard,1,171.91,0.24,171.91,41.2584,130.65,12.44,0.00,0,130.65,118.21
ORD-000017,LINE-000030,2024-04-16,CUST-005361,NVA-DEC-0123,PORTUGAL,2024-04-16,2024-04-19,Express,2,140.87,0.07,281.74,19.7218,262.02,25.06,0.00,0,262.02,236.96
ORD-000017,LINE-000031,2024-04-16,CUST-005361,NVA-DEC-0009,PORTUGAL,2024-04-16,2024-04-19,Express,1,128.46,0.00,128.46,0.0000,128.46,12.35,0.00,0,128.46,116.11
ORD-000017,LINE-000032,2024-04-16,CUST-005361,NVA-TXT-0093,PORTUGAL,2024-04-16,2024-04-19,Express,1,399.73,0.09,399.73,35.9757,363.75,41.03,0.00,0,363.75,322.72
ORD-000018,LINE-000033,2024-12-25,CUST-018021,NVA-FUR-0019,FRANCE,2024-12-26,2024-12-30,Express,1,1109.00,0.11,1109.00,121.9900,987.01,449.57,0.00,0,987.01,537.44
ORD-000019,LINE-000034,2024-06-20,CUST-006542,NVA-LGT-0046,FRANCE,2024-06-22,2024-06-26,Standard,1,282.11,0.19,282.11,53.6009,228.51,81.46,0.00,0,228.51,147.05
ORD-000019,LINE-000035,2024-06-20,CUST-006542,NVA-LGT-0021,FRANCE,2024-06-22,2024-06-26,Standard,1,164.88,0.16,164.88,26.3808,138.50,44.88,0.00,0,138.50,93.62
ORD-000020,LINE-000036,2024-10-09,CUST-011053,NVA-FUR-0071,FRANCE,2024-10-10,2024-10-12,Standard,1,249.67,0.00,249.67,0.0000,249.67,200.98,0.00,0,249.67,48.69
ORD-000020,LINE-000037,2024-10-09,CUST-011053,NVA-LGT-0052,FRANCE,2024-10-10,2024-10-12,Standard,1,79.00,0.00,79.00,0.0000,79.00,27.97,0.00,0,79.00,51.03
ORD-000021,LINE-000038,2024-03-27,CUST-016275,NVA-FUR-0010,PORTUGAL,2024-03-28,2024-04-02,Express,1,689.64,0.00,689.64,0.0000,689.64,455.52,0.00,0,689.64,234.12
ORD-000022,LINE-000039,2024-03-17,CUST-010147,NVA-LGT-0063,FRANCE,2024-03-18,2024-03-21,Standard,2,416.75,0.00,833.50,0.0000,833.50,176.46,0.00,0,833.50,657.04
ORD-000023,LINE-000040,2024-04-24,CUST-006268,NVA-KDN-0060,FRANCE,2024-04-25,2024-04-27,Standard,1,440.52,0.09,440.52,39.6468,400.87,28.77,0.00,0,400.87,372.10
ORD-000024,LINE-000041,2024-03-09,CUST-004848,NVA-DEC-0016,FRANCE,2024-03-09,2024-03-12,Standard,1,272.22,0.04,272.22,10.8888,261.33,13.82,0.00,0,261.33,247.51
ORD-000025,LINE-000042,2024-07-26,CUST-001823,NVA-KDN-0006,SPAIN,2024-07-27,2024-08-02,Standard,4,386.61,0.00,1546.44,0.0000,1546.44,98.24,0.00,0,1546.44,1448.20
ORD-000025,LINE-000043,2024-07-26,CUST-001823,NVA-KDN-0053,SPAIN,2024-07-27,2024-08-02,Standard,2,168.73,0.05,337.46,16.8730,320.59,28.68,0.00,0,320.59,291.91
ORD-000026,LINE-000044,2024-07-29,CUST-018186,NVA-DEC-0074,SPAIN,2024-07-30,2024-08-05,Standard,1,110.50,0.05,110.50,5.5250,104.98,11.40,0.00,0,104.98,93.58
ORD-000027,LINE-000045,2024-04-25,CUST-013096,NVA-FUR-0035,FRANCE,2024-04-26,2024-05-01,Standard,1,312.84,0.00,312.84,0.0000,312.84,178.90,0.00,0,312.84,133.94
ORD-000027,LINE-000046,2024-04-25,CUST-013096,NVA-TXT-0052,FRANCE,2024-04-26,2024-05-01,Standard,1,196.16,0.06,196.16,11.7696,184.39,22.83,0.00,0,184.39,161.56
ORD-000028,LINE-000047,2024-01-27,CUST-011582,NVA-LGT-0029,FRANCE,2024-01-28,2024-02-01,Express,1,243.92,0.11,243.92,26.8312,217.09,67.28,0.00,0,217.09,149.81
ORD-000028,LINE-000048,2024-01-27,CUST-011582,NVA-DEC-0062,FRANCE,2024-01-28,2024-02-01,Express,1,108.85,0.28,108.85,30.4780,78.37,10.18,0.00,0,78.37,68.19
ORD-000028,LINE-000049,2024-01-27,CUST-011582,NVA-LGT-0062,FRANCE,2024-01-28,2024-02-01,Express,1,286.17,0.21,286.17,60.0957,226.07,54.48,0.00,0,226.07,171.59
ORD-000029,LINE-000050,2024-01-24,CUST-019433,NVA-DEC-0053,FRANCE,2024-01-25,2024-01-29,Standard,1,127.90,0.17,127.90,21.7430,106.16,13.10,0.00,0,106.16,93.06
ORD-000030,LINE-000051,2024-03-22,CUST-002365,NVA-LGT-0052,FRANCE,2024-03-23,2024-03-26,Standard,1,75.10,0.04,75.10,3.0040,72.10,27.97,0.00,0,72.10,44.13
ORD-000031,LINE-000052,2024-11-24,CUST-018205,NVA-SEA-0036,FRANCE,2024-11-25,2024-11-30,Standard,1,236.88,0.18,236.88,42.6384,194.24,16.62,0.00,0,194.24,177.62
ORD-000032,LINE-000053,2024-09-30,CUST-012582,NVA-TXT-0068,FRANCE,2024-10-01,2024-10-04,Express,2,58.46,0.00,116.92,0.0000,116.92,20.86,0.00,0,116.92,96.06
ORD-000032,LINE-000054,2024-09-30,CUST-012582,NVA-TXT-0019,FRANCE,2024-10-01,2024-10-04,Express,1,206.09,0.00,206.09,0.0000,206.09,26.65,0.00,0,206.09,179.44
ORD-000033,LINE-000055,2024-11-29,CUST-016705,NVA-DEC-0088,FRANCE,2024-11-30,2024-12-04,Standard,1,161.90,0.22,161.90,35.6180,126.28,11.73,0.00,0,126.28,114.55
ORD-000034,LINE-000056,2024-03-06,CUST-010779,NVA-FUR-0004,SPAIN,2024-03-07,2024-03-13,Standard,1,433.93,0.10,433.93,43.3930,390.54,230.16,0.00,0,390.54,160.38
ORD-000034,LINE-000057,2024-03-06,CUST-010779,NVA-FUR-0085,SPAIN,2024-03-07,2024-03-13,Standard,1,590.85,0.00,590.85,0.0000,590.85,334.67,0.00,0,590.85,256.18
ORD-000035,LINE-000058,2024-02-04,CUST-012157,NVA-DEC-0099,FRANCE,2024-02-05,2024-02-09,Standard,2,329.99,0.00,659.98,0.0000,659.98,43.00,0.00,0,659.98,616.98
ORD-000036,LINE-000059,2024-11-16,CUST-010146,NVA-TXT-0030,FRANCE,2024-11-18,2024-11-21,Standard,1,113.65,0.32,113.65,36.3680,77.28,12.54,0.00,0,77.28,64.74
ORD-000036,LINE-000060,2024-11-16,CUST-010146,NVA-TXT-0065,FRANCE,2024-11-18,2024-11-21,Standard,1,167.01,0.32,167.01,53.4432,113.57,22.30,0.00,0,113.57,91.27
ORD-000036,LINE-000061,2024-11-16,CUST-010146,NVA-TXT-0077,FRANCE,2024-11-18,2024-11-21,Standard,1,357.12,0.24,357.12,85.7088,271.41,45.87,0.00,0,271.41,225.54
ORD-000037,LINE-000062,2024-10-27,CUST-005471,NVA-FUR-0067,SPAIN,2024-10-29,2024-11-01,Standard,1,617.41,0.05,617.41,30.8705,586.54,354.19,0.00,0,586.54,232.35
ORD-000037,LINE-000063,2024-10-27,CUST-005471,NVA-FUR-0031,SPAIN,2024-10-29,2024-11-01,Standard,2,585.13,0.02,1170.26,23.4052,1146.85,711.52,0.00,0,1146.85,435.33
ORD-000037,LINE-000064,2024-10-27,CUST-005471,NVA-FUR-0033,SPAIN,2024-10-29,2024-11-01,Standard,1,1083.32,0.09,1083.32,97.4988,985.82,436.28,0.00,0,985.82,549.54
ORD-000038,LINE-000065,2024-08-26,CUST-003825,NVA-KDN-0021,FRANCE,2024-08-27,2024-08-29,Standard,1,163.02,0.00,163.02,0.0000,163.02,20.24,0.00,0,163.02,142.78
ORD-000038,LINE-000066,2024-08-26,CUST-003825,NVA-KDN-0050,FRANCE,2024-08-27,2024-08-29,Standard,2,276.55,0.08,553.10,44.2480,508.85,44.98,0.00,0,508.85,463.87
ORD-000038,LINE-000067,2024-08-26,CUST-003825,NVA-DEC-0010,FRANCE,2024-08-27,2024-08-29,Standard,1,295.45,0.05,295.45,14.7725,280.68,21.82,0.00,0,280.68,258.86
ORD-000039,LINE-000068,2024-08-29,CUST-007658,NVA-DEC-0071,PORTUGAL,2024-08-30,2024-09-03,Standard,1,59.23,0.08,59.23,4.7384,54.49,5.79,0.00,0,54.49,48.70
ORD-000040,LINE-000069,2024-11-29,CUST-015803,NVA-TXT-0001,SPAIN,2024-11-30,2024-12-05,Standard,1,99.18,0.28,99.18,27.7704,71.41,12.10,0.00,0,71.41,59.31
ORD-000041,LINE-000070,2024-11-15,CUST-012210,NVA-LGT-0006,FRANCE,2024-11-17,2024-11-20,Standard,2,180.81,0.33,361.62,119.3346,242.29,100.96,0.00,0,242.29,141.33
ORD-000041,LINE-000071,2024-11-15,CUST-012210,NVA-LGT-0048,FRANCE,2024-11-17,2024-11-20,Standard,1,138.32,0.31,138.32,42.8792,95.44,49.23,0.00,0,95.44,46.21
ORD-000042,LINE-000072,2024-06-22,CUST-015165,NVA-DEC-0107,FRANCE,2024-06-23,2024-06-27,Express,2,233.73,0.24,467.46,112.1904,355.27,35.88,0.00,0,355.27,319.39
ORD-000042,LINE-000073,2024-06-22,CUST-015165,NVA-LGT-0058,FRANCE,2024-06-23,2024-06-27,Express,1,374.38,0.19,374.38,71.1322,303.25,74.96,0.00,0,303.25,228.29
ORD-000042,LINE-000074,2024-06-22,CUST-015165,NVA-LGT-0055,FRANCE,2024-06-23,2024-06-27,Express,1,325.88,0.20,325.88,65.1760,260.70,86.16,0.00,0,260.70,174.54
ORD-000042,LINE-000075,2024-06-22,CUST-015165,NVA-TXT-0047,FRANCE,2024-06-23,2024-06-27,Express,1,240.86,0.24,240.86,57.8064,183.05,23.30,0.00,0,183.05,159.75
ORD-000043,LINE-000076,2024-03-30,CUST-002591,NVA-TXT-0075,SPAIN,2024-04-01,2024-04-06,Premium,1,129.95,0.08,129.95,10.3960,119.55,23.50,0.00,0,119.55,96.05
ORD-000043,LINE-000077,2024-03-30,CUST-002591,NVA-TXT-0019,SPAIN,2024-04-01,2024-04-06,Premium,1,196.47,0.09,196.47,17.6823,178.79,26.65,0.00,0,178.79,152.14
ORD-000044,LINE-000078,2024-06-22,CUST-005722,NVA-FUR-0010,FRANCE,2024-06-23,2024-06-26,Standard,1,756.48,0.13,756.48,98.3424,658.14,455.52,0.00,0,658.14,202.62
ORD-000045,LINE-000079,2024-07-18,CUST-019668,NVA-LGT-0072,SPAIN,2024-07-19,2024-07-22,Standard,1,482.06,0.00,482.06,0.0000,482.06,102.12,0.00,0,482.06,379.94
ORD-000046,LINE-000080,2024-07-06,CUST-014553,NVA-FUR-0093,FRANCE,2024-07-07,2024-07-09,Standard,1,820.90,0.21,820.90,172.3890,648.51,356.48,0.00,0,648.51,292.03
ORD-000046,LINE-000081,2024-07-06,CUST-014553,NVA-DEC-0044,FRANCE,2024-07-07,2024-07-09,Standard,1,175.55,0.17,175.55,29.8435,145.71,11.66,0.00,0,145.71,134.05
ORD-000046,LINE-000082,2024-07-06,CUST-014553,NVA-TXT-0077,FRANCE,2024-07-07,2024-07-09,Standard,2,313.89,0.18,627.78,113.0004,514.78,91.74,514.78,2,0.00,-91.74
ORD-000046,LINE-000083,2024-07-06,CUST-014553,NVA-LGT-0006,FRANCE,2024-07-07,2024-07-09,Standard,1,199.24,0.19,199.24,37.8556,161.38,50.48,0.00,0,161.38,110.90
ORD-000047,LINE-000084,2024-11-02,CUST-008449,NVA-KDN-0014,FRANCE,2024-11-03,2024-11-05,Standard,1,351.04,0.17,351.04,59.6768,291.36,32.21,0.00,0,291.36,259.15
ORD-000048,LINE-000085,2024-12-24,CUST-007322,NVA-FUR-0063,PORTUGAL,2024-12-26,2025-01-02,Express,1,603.05,0.12,603.05,72.3660,530.68,351.67,530.68,1,0.00,-351.67
ORD-000048,LINE-000086,2024-12-24,CUST-007322,NVA-TXT-0047,PORTUGAL,2024-12-26,2025-01-02,Express,1,214.71,0.12,214.71,25.7652,188.94,23.30,0.00,0,188.94,165.64
ORD-000048,LINE-000087,2024-12-24,CUST-007322,NVA-DEC-0040,PORTUGAL,2024-12-26,2025-01-02,Express,1,191.25,0.10,191.25,19.1250,172.12,14.45,0.00,0,172.12,157.67
ORD-000049,LINE-000088,2024-10-06,CUST-005403,NVA-DEC-0040,SPAIN,2024-10-07,2024-10-12,Standard,2,201.72,0.00,403.44,0.0000,403.44,28.90,0.00,0,403.44,374.54
ORD-000049,LINE-000089,2024-10-06,CUST-005403,NVA-LGT-0046,SPAIN,2024-10-07,2024-10-12,Standard,1,265.99,0.00,265.99,0.0000,265.99,81.46,265.99,1,0.00,-81.46
ORD-000050,LINE-000090,2024-06-11,CUST-013882,NVA-DEC-0079,FRANCE,2024-06-13,2024-06-16,Standard,2,146.97,0.08,293.94,23.5152,270.42,27.58,0.00,0,270.42,242.84
ORD-000051,LINE-000091,2024-07-08,CUST-002707,NVA-DEC-0070,SPAIN,2024-07-09,2024-07-12,Express,1,186.00,0.18,186.00,33.4800,152.52,12.95,0.00,0,152.52,139.57
ORD-000051,LINE-000092,2024-07-08,CUST-002707,NVA-LGT-0030,SPAIN,2024-07-09,2024-07-12,Express,1,620.57,0.13,620.57,80.6741,539.90,146.98,0.00,0,539.90,392.92
ORD-000051,LINE-000093,2024-07-08,CUST-002707,NVA-LGT-0061,SPAIN,2024-07-09,2024-07-12,Express,2,152.26,0.18,304.52,54.8136,249.71,100.62,0.00,0,249.71,149.09
ORD-000052,LINE-000094,2024-08-04,CUST-011724,NVA-DEC-0068,SPAIN,2024-08-05,2024-08-10,Premium,3,282.87,0.00,848.61,0.0000,848.61,64.23,0.00,0,848.61,784.38
ORD-000052,LINE-000095,2024-08-04,CUST-011724,NVA-LGT-0032,SPAIN,2024-08-05,2024-08-10,Premium,1,101.01,0.00,101.01,0.0000,101.01,35.30,0.00,0,101.01,65.71
ORD-000053,LINE-000096,2024-07-18,CUST-019374,NVA-DEC-0068,FRANCE,2024-07-19,2024-07-21,Standard,2,324.26,0.07,648.52,45.3964,603.12,42.82,0.00,0,603.12,560.30
ORD-000054,LINE-000097,2024-11-30,CUST-005063,NVA-FUR-0095,FRANCE,2024-11-30,2024-12-05,Standard,1,985.50,0.32,985.50,315.3600,670.14,469.96,0.00,0,670.14,200.18
ORD-000055,LINE-000098,2024-06-14,CUST-009006,NVA-TXT-0028,PORTUGAL,2024-06-15,2024-06-20,Standard,2,174.21,0.00,348.42,0.0000,348.42,43.52,348.42,2,0.00,-43.52
ORD-000055,LINE-000099,2024-06-14,CUST-009006,NVA-TXT-0039,PORTUGAL,2024-06-15,2024-06-20,Standard,1,416.48,0.00,416.48,0.0000,416.48,41.46,0.00,0,416.48,375.02
ORD-000055,LINE-000100,2024-06-14,CUST-009006,NVA-TXT-0084,PORTUGAL,2024-06-15,2024-06-20,Standard,1,83.13,0.04,83.13,3.3252,79.80,10.05,0.00,0,79.80,69.75
ORD-000056,LINE-000101,2024-12-15,CUST-018022,NVA-DEC-0118,SPAIN,2024-12-17,2024-12-23,Standard,1,458.43,0.13,458.43,59.5959,398.83,28.52,0.00,0,398.83,370.31
ORD-000056,LINE-000102,2024-12-15,CUST-018022,NVA-LGT-0048,SPAIN,2024-12-17,2024-12-23,Standard,3,135.65,0.13,406.95,52.9035,354.05,147.69,0.00,0,354.05,206.36
ORD-000057,LINE-000103,2024-07-05,CUST-017377,NVA-LGT-0045,FRANCE,2024-07-06,2024-07-09,Standard,1,216.41,0.19,216.41,41.1179,175.29,64.03,0.00,0,175.29,111.26
ORD-000057,LINE-000104,2024-07-05,CUST-017377,NVA-LGT-0070,FRANCE,2024-07-06,2024-07-09,Standard,2,447.63,0.20,895.26,179.0520,716.21,180.86,0.00,0,716.21,535.35
ORD-000057,LINE-000105,2024-07-05,CUST-017377,NVA-LGT-0016,FRANCE,2024-07-06,2024-07-09,Standard,1,403.35,0.13,403.35,52.4355,350.91,75.47,0.00,0,350.91,275.44
ORD-000058,LINE-000106,2024-03-24,CUST-002295,NVA-DEC-0092,FRANCE,2024-03-24,2024-03-27,Standard,1,273.16,0.00,273.16,0.0000,273.16,19.66,0.00,0,273.16,253.50
ORD-000059,LINE-000107,2024-01-31,CUST-003310,NVA-TXT-0078,FRANCE,2024-01-31,2024-02-04,Standard,3,167.75,0.28,503.25,140.9100,362.34,84.09,362.34,3,0.00,-84.09
ORD-000060,LINE-000108,2024-12-14,CUST-000166,NVA-LGT-0045,FRANCE,2024-12-15,2024-12-20,Express,1,248.62,0.15,248.62,37.2930,211.33,64.03,0.00,0,211.33,147.30
ORD-000061,LINE-000109,2024-10-29,CUST-010989,NVA-FUR-0067,FRANCE,2024-10-30,2024-11-02,Standard,2,628.91,0.00,1257.82,0.0000,1257.82,708.38,1257.82,2,0.00,-708.38
ORD-000061,LINE-000110,2024-10-29,CUST-010989,NVA-LGT-0042,FRANCE,2024-10-30,2024-11-02,Standard,1,326.72,0.00,326.72,0.0000,326.72,66.93,0.00,0,326.72,259.79
ORD-000062,LINE-000111,2024-06-05,CUST-005150,NVA-DEC-0074,FRANCE,2024-06-06,2024-06-09,Express,2,118.75,0.04,237.50,9.5000,228.00,22.80,0.00,0,228.00,205.20
ORD-000062,LINE-000112,2024-06-05,CUST-005150,NVA-DEC-0011,FRANCE,2024-06-06,2024-06-09,Express,1,233.26,0.06,233.26,13.9956,219.26,13.42,0.00,0,219.26,205.84
ORD-000063,LINE-000113,2024-10-08,CUST-007424,NVA-LGT-0046,FRANCE,2024-10-09,2024-10-11,Standard,2,290.83,0.00,581.66,0.0000,581.66,162.92,0.00,0,581.66,418.74
ORD-000064,LINE-000114,2024-02-26,CUST-015739,NVA-TXT-0075,SPAIN,2024-02-27,2024-03-04,Standard,1,132.24,0.03,132.24,3.9672,128.27,23.50,0.00,0,128.27,104.77
ORD-000064,LINE-000115,2024-02-26,CUST-015739,NVA-TXT-0042,SPAIN,2024-02-27,2024-03-04,Standard,1,197.87,0.08,197.87,15.8296,182.04,26.94,0.00,0,182.04,155.10
ORD-000065,LINE-000116,2024-05-06,CUST-016981,NVA-TXT-0078,FRANCE,2024-05-07,2024-05-10,Standard,1,157.28,0.00,157.28,0.0000,157.28,28.03,0.00,0,157.28,129.25
ORD-000066,LINE-000117,2024-08-31,CUST-015457,NVA-DEC-0056,FRANCE,2024-09-01,2024-09-06,Express,1,174.29,0.03,174.29,5.2287,169.06,11.81,0.00,0,169.06,157.25
ORD-000066,LINE-000118,2024-08-31,CUST-015457,NVA-TXT-0081,FRANCE,2024-09-01,2024-09-06,Express,1,420.02,0.09,420.02,37.8018,382.22,42.09,0.00,0,382.22,340.13
ORD-000067,LINE-000119,2024-02-06,CUST-001118,NVA-DEC-0018,SPAIN,2024-02-07,2024-02-13,Standard,1,894.72,0.08,894.72,71.5776,823.14,33.94,0.00,0,823.14,789.20
ORD-000067,LINE-000120,2024-02-06,CUST-001118,NVA-LGT-0055,SPAIN,2024-02-07,2024-02-13,Standard,2,326.56,0.08,653.12,52.2496,600.87,172.32,600.87,2,0.00,-172.32
ORD-000067,LINE-000121,2024-02-06,CUST-001118,NVA-TXT-0038,SPAIN,2024-02-07,2024-02-13,Standard,1,113.46,0.00,113.46,0.0000,113.46,20.48,0.00,0,113.46,92.98
ORD-000068,LINE-000122,2024-10-04,CUST-006244,NVA-FUR-0057,FRANCE,2024-10-05,2024-10-09,Standard,1,194.55,0.00,194.55,0.0000,194.55,145.08,0.00,0,194.55,49.47
ORD-000068,LINE-000123,2024-10-04,CUST-006244,NVA-FUR-0072,FRANCE,2024-10-05,2024-10-09,Standard,2,389.40,0.00,778.80,0.0000,778.80,411.24,0.00,0,778.80,367.56
ORD-000069,LINE-000124,2024-07-26,CUST-009106,NVA-FUR-0010,FRANCE,2024-07-27,2024-07-31,Standard,1,737.57,0.05,737.57,36.8785,700.69,455.52,0.00,0,700.69,245.17
ORD-000070,LINE-000125,2024-09-10,CUST-011051,NVA-TXT-0066,FRANCE,2024-09-11,2024-09-14,Standard,2,164.49,0.07,328.98,23.0286,305.95,42.26,0.00,0,305.95,263.69
ORD-000070,LINE-000126,2024-09-10,CUST-011051,NVA-DEC-0071,FRANCE,2024-09-11,2024-09-14,Standard,1,60.91,0.08,60.91,4.8728,56.04,5.79,0.00,0,56.04,50.25
ORD-000070,LINE-000127,2024-09-10,CUST-011051,NVA-DEC-0010,FRANCE,2024-09-11,2024-09-14,Standard,1,305.44,0.03,305.44,9.1632,296.28,21.82,0.00,0,296.28,274.46
ORD-000071,LINE-000128,2024-10-14,CUST-011074,NVA-TXT-0017,SPAIN,2024-10-15,2024-10-18,Express,1,359.04,0.00,359.04,0.0000,359.04,48.00,0.00,0,359.04,311.04
ORD-000071,LINE-000129,2024-10-14,CUST-011074,NVA-TXT-0042,SPAIN,2024-10-15,2024-10-18,Express,1,191.62,0.00,191.62,0.0000,191.62,26.94,191.62,1,0.00,-26.94
ORD-000071,LINE-000130,2024-10-14,CUST-011074,NVA-DEC-0012,SPAIN,2024-10-15,2024-10-18,Express,1,157.41,0.00,157.41,0.0000,157.41,15.14,0.00,0,157.41,142.27
ORD-000072,LINE-000131,2024-02-27,CUST-015414,NVA-DEC-0071,FRANCE,2024-02-27,2024-03-02,Standard,1,57.38,0.02,57.38,1.1476,56.23,5.79,0.00,0,56.23,50.44
ORD-000072,LINE-000132,2024-02-27,CUST-015414,NVA-LGT-0046,FRANCE,2024-02-27,2024-03-02,Standard,1,283.83,0.00,283.83,0.0000,283.83,81.46,0.00,0,283.83,202.37
