Return_ID,Order_ID,Order_Line_ID,Return_Date,Return_Reason,Return_Amount,Return_Quantity
RET-000090,ORD-010737,LINE-019347,2025-01-11,Delivery Issue,190.55,2
RET-000091,ORD-000416,LINE-000736,2024-10-18,Damaged Product,105.89,1
RET-000092,ORD-008079,LINE-014488,2024-08-20,Customer Changed Mind,921.3,2
RET-000093,ORD-007099,LINE-012673,2024-04-07,Customer Changed Mind,839.55,3
RET-000094,ORD-007071,LINE-012628,2024-08-27,Product Not As Expected,150.32,1
RET-000095,ORD-011506,LINE-020744,2024-12-11,Damaged Product,122.82,1
RET-000096,ORD-003321,LINE-005960,2024-05-02,Customer Changed Mind,51.22,1
RET-000097,ORD-000116,LINE-000210,2024-04-26,Customer Changed Mind,166.58,1
RET-000098,ORD-006066,LINE-010847,2024-04-11,Damaged Product,1952.04,1
RET-000099,ORD-006716,LINE-011992,2024-06-02,Product Not As Expected,136.12,1
RET-000100,ORD-009824,LINE-017674,2024-10-31,Customer Changed Mind,1208.78,2
RET-000101,ORD-000518,LINE-000905,2024-07-22,Customer Changed Mind,319.96,1
RET-000102,ORD-001313,LINE-002298,2024-12-20,Customer Changed Mind,112.57,2
RET-000103,ORD-007182,LINE-012822,2024-03-17,Damaged Product,582.02,1
RET-000104,ORD-012839,LINE-023140,2024-06-04,Customer Changed Mind,456.31,1
RET-000105,ORD-005195,LINE-009318,2024-10-19,Damaged Product,387.68,2
RET-000106,ORD-004426,LINE-007940,2024-10-05,Wrong Product,281.36,1
RET-000107,ORD-011920,LINE-021481,2024-07-11,Product Not As Expected,546.67,2
RET-000108,ORD-003026,LINE-005436,2024-05-20,Damaged Product,466.24,1
RET-000109,ORD-011633,LINE-020969,2024-08-07,Product Not As Expected,283.25,1
RET-000110,ORD-009746,LINE-017523,2024-09-26,Product Not As Expected,167.34,1
RET-000111,ORD-010678,LINE-019241,2024-11-25,Damaged Product,183.6,1
RET-000112,ORD-011440,LINE-020624,2024-09-05,Wrong Product,484.72,1
RET-000113,ORD-005111,LINE-009167,2024-12-14,Product Not As Expected,355.1,2
RET-000114,ORD-004372,LINE-007847,2024-06-03,Product Not As Expected,156.48,1
RET-000115,ORD-003530,LINE-006333,2024-05-15,Damaged Product,149.05,1
RET-000116,ORD-002000,LINE-003571,2024-05-20,Customer Changed Mind,1218.3,3
RET-000117,ORD-008974,LINE-016120,2024-06-09,Product Not As Expected,237.83,1
RET-000118,ORD-002094,LINE-003739,2025-01-25,Product Not As Expected,36.48,1
RET-000119,ORD-011190,LINE-020171,2024-03-05,Product Not As Expected,199.85,1
RET-000120,ORD-001285,LINE-002250,2024-11-04,Product Not As Expected,1440.33,1
RET-000121,ORD-009784,LINE-017596,2024-11-14,Damaged Product,1242.22,2
RET-000122,ORD-001093,LINE-001922,2024-09-15,Customer Changed Mind,185.27,1
RET-000123,ORD-002451,LINE-004382,2024-03-06,Damaged Product,80.36,1
RET-000124,ORD-013508,LINE-024323,2024-12-09,Wrong Product,38.39,1
RET-000125,ORD-003518,LINE-006310,2025-02-01,Damaged Product,477.37,1
RET-000126,ORD-007621,LINE-013670,2024-06-24,Customer Changed Mind,402.67,1
RET-000127,ORD-009792,LINE-017615,2024-11-11,Customer Changed Mind,142.14,1
RET-000128,ORD-000815,LINE-001420,2024-11-11,Damaged Product,202.33,1
RET-000129,ORD-007659,LINE-013729,2024-11-16,Product Not As Expected,380.18,2
RET-000130,ORD-004351,LINE-007809,2024-06-07,Product Not As Expected,285.39,1
RET-000131,ORD-004035,LINE-007245,2025-01-16,Customer Changed Mind,446.89,1
RET-000132,ORD-002895,LINE-005198,2024-05-11,Customer Changed Mind,200.26,1
RET-000133,ORD-012218,LINE-022000,2024-08-26,Customer Changed Mind,441.85,1
RET-000134,ORD-008959,LINE-016092,2024-05-28,Product Not As Expected,174.79,1
RET-000135,ORD-006911,LINE-012340,2024-10-16,Wrong Product,245.07,1
RET-000136,ORD-006300,LINE-011289,2024-12-08,Customer Changed Mind,78.57,1
RET-000137,ORD-007624,LINE-013674,2024-02-19,Customer Changed Mind,121.84,1
RET-000138,ORD-010333,LINE-018603,2024-02-18,Delivery Issue,348.21,1
RET-000139,ORD-009612,LINE-017273,2024-05-06,Product Not As Expected,220.28,1
RET-000140,ORD-001680,LINE-002974,2024-10-11,Product Not As Expected,195.32,1
RET-000141,ORD-008335,LINE-014954,2024-03-15,Delivery Issue,134.22,1
RET-000142,ORD-004758,LINE-008549,2025-01-15,Customer Changed Mind,539.91,1
RET-000143,ORD-011098,LINE-020002,2024-07-07,Customer Changed Mind,480.04,2
RET-000144,ORD-006296,LINE-011280,2024-12-15,Product Not As Expected,86.36,1
RET-000145,ORD-005065,LINE-009076,2024-11-05,Customer Changed Mind,871.77,3
RET-000146,ORD-005081,LINE-009108,2024-10-20,Product Not As Expected,256.12,1
RET-000147,ORD-013527,LINE-024363,2025-01-22,Product Not As Expected,206.17,1
RET-000148,ORD-008492,LINE-015241,2024-07-24,Product Not As Expected,174.8,2
RET-000149,ORD-001302,LINE-002281,2024-09-17,Damaged Product,357.8,1
RET-000150,ORD-012925,LINE-023303,2024-06-24,Product Not As Expected,192.48,1
RET-000151,ORD-008301,LINE-014884,2024-02-10,Customer Changed Mind,336.9,2
RET-000152,ORD-013085,LINE-023581,2024-01-24,Product Not As Expected,565.81,1
RET-000153,ORD-010154,LINE-018295,2024-12-01,Delivery Issue,169.57,1
RET-000154,ORD-002430,LINE-004340,2024-10-01,Product Not As Expected,257.11,1
RET-000155,ORD-007056,LINE-012600,2024-02-16,Damaged Product,98.83,1
RET-000156,ORD-011617,LINE-020939,2024-07-02,Product Not As Expected,180.62,1
RET-000157,ORD-012518,LINE-022550,2024-10-03,Customer Changed Mind,317.11,1
RET-000158,ORD-008383,LINE-015035,2025-01-05,Customer Changed Mind,346.86,1
RET-000159,ORD-004002,LINE-007182,2024-09-16,Customer Changed Mind,140.85,1
RET-000160,ORD-008102,LINE-014527,2024-04-16,Customer Changed Mind,984.3,1
RET-000161,ORD-000714,LINE-001245,2024-06-04,Delivery Issue,425.03,1
RET-000162,ORD-001038,LINE-001809,2024-05-18,Damaged Product,103.99,1
RET-000163,ORD-001560,LINE-002757,2024-06-30,Customer Changed Mind,410.14,1
RET-000164,ORD-012971,LINE-023387,2024-11-18,Customer Changed Mind,442.78,2
RET-000165,ORD-012022,LINE-021644,2025-01-04,Delivery Issue,394.6,1
RET-000166,ORD-009346,LINE-016811,2024-09-09,Customer Changed Mind,239.39,1
RET-000167,ORD-005250,LINE-009404,2024-12-13,Damaged Product,1008.8,1
RET-000168,ORD-012884,LINE-023231,2024-12-29,Customer Changed Mind,292.07,1
RET-000169,ORD-000828,LINE-001440,2024-12-19,Customer Changed Mind,193.58,1
RET-000170,ORD-011429,LINE-020601,2024-06-04,Product Not As Expected,90.48,2
RET-000171,ORD-000882,LINE-001544,2024-01-25,Product Not As Expected,430.48,1
RET-000172,ORD-007698,LINE-013801,2024-08-07,Product Not As Expected,72.7,1
RET-000173,ORD-004756,LINE-008544,2024-04-05,Wrong Product,822.25,1
RET-000174,ORD-012066,LINE-021716,2024-04-24,Product Not As Expected,160.9,2
RET-000175,ORD-007237,LINE-012920,2024-06-09,Delivery Issue,274.02,1
RET-000176,ORD-006119,LINE-010946,2024-12-11,Customer Changed Mind,420.29,2
RET-000177,ORD-000861,LINE-001500,2024-10-08,Wrong Product,65.01,1
RET-000178,ORD-013466,LINE-024250,2024-12-10,Product Not As Expected,206.59,1
RET-000179,ORD-011728,LINE-021125,2024-06-28,Product Not As Expected,4706.1,3
RET-000180,ORD-007226,LINE-012901,2024-02-13,Damaged Product,144.93,1
RET-000181,ORD-003938,LINE-007083,2024-05-06,Customer Changed Mind,351.71,1
RET-000182,ORD-010436,LINE-018782,2024-10-08,Customer Changed Mind,191.4,1
RET-000183,ORD-011778,LINE-021215,2024-08-02,Customer Changed Mind,655.98,2
RET-000184,ORD-012825,LINE-023110,2025-01-17,Wrong Product,112.16,1
RET-000185,ORD-008751,LINE-015719,2024-07-23,Damaged Product,317.93,1
RET-000186,ORD-009704,LINE-017449,2024-05-15,Customer Changed Mind,416.71,2
RET-000187,ORD-008398,LINE-015064,2024-10-11,Damaged Product,165.15,1
RET-000188,ORD-010710,LINE-019299,2024-09-23,Product Not As Expected,1446.03,1
RET-000189,ORD-010583,LINE-019061,2024-07-13,Damaged Product,863.42,4
RET-000190,ORD-005401,LINE-009674,2024-06-29,Customer Changed Mind,720.84,2
RET-000191,ORD-005160,LINE-009257,2025-01-04,damaged product,330.26,1
RET-000192,ORD-009701,LINE-017443,2025-02-05,Product Not As Expected,1640.79,3
RET-000193,ORD-000975,LINE-001708,2024-02-16,Customer Changed Mind,117.58,1
RET-000194,ORD-001100,LINE-001935,2024-07-19,Delivery Issue,100.38,1
RET-000195,ORD-001573,LINE-002781,2024-06-16,Damaged Product,322.78,1
RET-000196,ORD-000558,LINE-000971,2024-04-07,Customer Changed Mind,266.94,1
RET-000197,ORD-001160,LINE-002037,2024-03-16,Product Not As Expected,209.85,1
RET-000198,ORD-009376,LINE-016855,2024-10-16,Product Not As Expected,1641.99,3
RET-000199,ORD-013331,LINE-024022,2025-01-09,Wrong Product,584.52,2
RET-000200,ORD-008889,LINE-015973,2024-08-03,Damaged Product,783.72,1
RET-000201,ORD-008976,LINE-016126,2024-12-12,Delivery Issue,60.08,1
RET-000202,ORD-006556,LINE-011718,2024-06-21,Customer Changed Mind,141.31,1
RET-000203,ORD-002478,LINE-004430,2024-01-26,Product Not As Expected,120.4,1
RET-000204,ORD-002518,LINE-004504,2024-02-14,Product Not As Expected,398.96,2
RET-000205,ORD-008642,LINE-015508,2024-09-20,Customer Changed Mind,81.05,1
RET-000206,ORD-011169,LINE-020130,2024-09-15,Customer Changed Mind,511.43,1
RET-000207,ORD-007352,LINE-013139,2024-06-10,Customer Changed Mind,1175.01,1
RET-000208,ORD-002493,LINE-004460,2024-01-23,Damaged Product,987.19,3
RET-000209,ORD-012634,LINE-022772,2024-05-19,Damaged Product,1328.43,1
RET-000210,ORD-009064,LINE-016298,2024-12-05,Product Not As Expected,490.88,1
RET-000211,ORD-006037,LINE-010802,2024-04-12,Product Not As Expected,188.62,1
RET-000212,ORD-013513,LINE-024335,2024-04-17,Customer Changed Mind,108.22,1
RET-000213,ORD-007604,LINE-013640,2024-05-16,Product Not As Expected,475.53,1
RET-000214,ORD-013391,LINE-024127,2024-08-07,Customer Changed Mind,443.87,1
RET-000215,ORD-000502,LINE-000877,2024-10-01,Customer Changed Mind,252.05,1
RET-000216,ORD-010882,LINE-019596,2024-06-05,Customer Changed Mind,325.12,2
RET-000217,ORD-005460,LINE-009783,2024-11-05,Customer change of mind,206.6,1
RET-000218,ORD-008536,LINE-015314,2024-12-11,Wrong Product,102.53,1
RET-000219,ORD-006442,LINE-011535,2024-09-13,Product Not As Expected,1366.03,1
RET-000220,ORD-000406,LINE-000714,2024-07-19,Damaged Product,115.07,1
RET-000221,ORD-011308,LINE-020389,2024-02-07,Product Not As Expected,2248.13,3
RET-000222,ORD-009734,LINE-017504,2024-02-13,Damaged Product,485.47,1
RET-000223,ORD-010262,LINE-018480,2024-11-22,Wrong Product,57.6,1
RET-000224,ORD-000509,LINE-000891,2024-10-12,Wrong Product,332.85,1
RET-000225,ORD-001445,LINE-002548,2024-07-17,Customer Changed Mind,172.78,1
RET-000226,ORD-008739,LINE-015696,2024-02-14,Product Not As Expected,183.0,1
RET-000227,ORD-001373,LINE-002408,2024-05-11,Customer Changed Mind,299.48,1
RET-000228,ORD-012760,LINE-022998,2024-02-29,Customer Changed Mind,544.91,1
RET-000229,ORD-010476,LINE-018859,2025-01-15,Product Not As Expected,281.23,1
RET-000230,ORD-003738,LINE-006724,2024-08-10,Product Not As Expected,254.17,1
RET-000231,ORD-005382,LINE-009642,2024-07-08,Product Not As Expected,226.3,1
RET-000232,ORD-007605,LINE-013642,2024-04-29,Customer Changed Mind,517.39,1
RET-000233,ORD-007897,LINE-014158,2024-12-03,Customer Changed Mind,187.36,1
RET-000234,ORD-007167,LINE-012796,2024-04-23,Product Not As Expected,494.49,1
RET-000235,ORD-012444,LINE-022422,2024-03-11,Damaged Product,470.4,1
RET-000236,ORD-002971,LINE-005335,2024-06-01,Damaged Product,195.1,2
RET-000237,ORD-007865,LINE-014097,2024-08-24,Damaged Product,150.03,1
RET-000238,ORD-000071,LINE-000129,2024-10-29,Product Not As Expected,191.62,1
RET-000239,ORD-010523,LINE-018950,2025-01-04,Wrong Product,114.3,1
RET-000240,ORD-001495,LINE-002648,2024-06-24,Product Not As Expected,128.57,1
RET-000241,ORD-005767,LINE-010325,2025-01-22,Damaged Product,147.8,1
RET-000242,ORD-009330,LINE-016780,2024-11-28,Delivery Issue,267.6,1
RET-000243,ORD-001810,LINE-003205,2024-11-28,Product Not As Expected,342.68,1
RET-000244,ORD-005778,LINE-010342,2024-03-02,Product Not As Expected,891.56,2
RET-000245,ORD-007515,LINE-013474,2024-08-31,Damaged Product,489.01,1
RET-000246,ORD-004371,LINE-007845,2024-08-07,Customer Changed Mind,303.12,1
RET-000247,ORD-008445,LINE-015152,2024-07-25,Customer Changed Mind,215.66,3
RET-000248,ORD-000877,LINE-001534,2024-11-23,Product Not As Expected,171.19,1
RET-000249,ORD-010602,LINE-019090,2024-10-01,Delivery Issue,493.0,1
RET-000250,ORD-007857,LINE-014084,2024-06-13,Damaged Product,308.52,2
RET-000251,ORD-008724,LINE-015666,2024-07-24,Customer Changed Mind,102.51,1
RET-000252,ORD-006305,LINE-011296,2024-11-28,Damaged Product,298.27,1
RET-000253,ORD-013116,LINE-023636,2024-12-18,Damaged Product,1181.31,4
RET-000254,ORD-012004,LINE-021617,2024-03-17,Customer Changed Mind,141.53,1
RET-000255,ORD-002624,LINE-004686,2024-07-20,Product Not As Expected,581.65,1
RET-000256,ORD-002307,LINE-004116,2024-03-07,Customer Changed Mind,647.12,1
RET-000257,ORD-000010,LINE-000019,2024-07-07,Customer Changed Mind,330.28,1
RET-000258,ORD-009763,LINE-017550,2024-09-16,Customer Changed Mind,644.93,1
RET-000259,ORD-013070,LINE-023557,2024-07-30,Customer Changed Mind,402.91,1
RET-000260,ORD-005219,LINE-009359,2024-12-01,Damaged Product,221.48,1
RET-000261,ORD-012371,LINE-022285,2024-10-11,Wrong Product,1080.21,3
RET-000262,ORD-010649,LINE-019188,2024-05-28,Product Not As Expected,43.15,1
RET-000263,ORD-000612,LINE-001061,2024-05-10,Delivery Issue,193.49,1
RET-000264,ORD-003798,LINE-006826,2024-01-27,Delivery Issue,174.24,1
RET-000265,ORD-005766,LINE-010323,2024-02-14,Customer Changed Mind,208.38,1
RET-000266,ORD-013169,LINE-023729,2024-04-04,Product Not As Expected,89.55,1
RET-000267,ORD-000592,LINE-001022,2024-05-12,Customer Changed Mind,1298.65,2
RET-000268,ORD-010993,LINE-019795,2024-06-26,Customer Changed Mind,217.11,1
RET-000269,ORD-003725,LINE-006697,2024-03-25,Product Not As Expected,465.04,1
RET-000270,ORD-004812,LINE-008643,2024-10-02,Product Not As Expected,181.4,1
RET-000271,ORD-008738,LINE-015695,2024-11-01,Wrong Product,329.94,1
RET-000272,ORD-002936,LINE-005271,2024-08-08,Product Not As Expected,752.74,1
RET-000273,ORD-000280,LINE-000487,2024-09-10,Product Not As Expected,54.24,1
RET-000274,ORD-001329,LINE-002329,2024-06-13,Damaged Product,335.12,1
RET-000275,ORD-002657,LINE-004751,2024-06-05,Customer Changed Mind,173.53,1
RET-000276,ORD-004527,LINE-008112,2024-07-18,Customer Changed Mind,115.18,2
RET-000277,ORD-001397,LINE-002453,2024-06-28,Product Not As Expected,502.08,1
RET-000278,ORD-009037,LINE-016237,2024-10-29,Damaged Product,403.23,1
RET-000279,ORD-002704,LINE-004835,2024-06-17,Customer Changed Mind,501.87,1
RET-000280,ORD-006085,LINE-010891,2024-05-17,Delivery Issue,220.11,1
RET-000281,ORD-002744,LINE-004912,2025-01-08,Customer Changed Mind,233.11,1
RET-000282,ORD-006823,LINE-012174,2024-04-30,Product Not As Expected,543.75,1
RET-000283,ORD-001682,LINE-002979,2024-04-05,Customer Changed Mind,327.74,1
RET-000284,ORD-003157,LINE-005655,2024-04-15,Customer Changed Mind,433.98,2
RET-000285,ORD-007464,LINE-013368,2024-06-19,Product Not As Expected,209.99,1
RET-000286,ORD-001069,LINE-001876,2024-12-19,Customer Changed Mind,578.97,2
RET-000287,ORD-008701,LINE-015617,2024-11-04,Product Not As Expected,666.4,2
RET-000288,ORD-008531,LINE-015307,2024-02-19,Customer Changed Mind,213.98,1
RET-000289,ORD-003492,LINE-006266,2024-08-23,Product Not As Expected,557.25,1
RET-000290,ORD-000410,LINE-000724,2025-01-20,Wrong Product,79.32,1
RET-000291,ORD-007437,LINE-013308,2024-07-11,Damaged Product,1104.67,2
RET-000292,ORD-006618,LINE-011818,2024-12-16,Product Not As Expected,133.98,1
RET-000293,ORD-002187,LINE-003904,2024-11-30,Delivery Issue,86.23,1
RET-000294,ORD-011172,LINE-020134,2024-02-17,Wrong Product,216.35,1
RET-000295,ORD-013122,LINE-023644,2024-12-31,Wrong Product,327.92,2
RET-000296,ORD-004271,LINE-007669,2024-08-12,Delivery Issue,125.41,1
RET-000297,ORD-012981,LINE-023403,2024-07-29,Customer Changed Mind,154.06,1
RET-000298,ORD-005800,LINE-010373,2024-08-24,Wrong Product,218.15,1
RET-000299,ORD-005143,LINE-009223,2024-06-15,Wrong Product,215.86,1
RET-000300,ORD-002407,LINE-004304,2024-12-15,Wrong Product,171.65,1
RET-000301,ORD-011373,LINE-020495,2024-04-05,Customer Changed Mind,131.27,1
RET-000302,ORD-008503,LINE-015258,2024-05-20,Wrong Product,476.63,1
RET-000303,ORD-007357,LINE-013149,2024-08-08,Damaged Product,378.71,1
RET-000304,ORD-010064,LINE-018120,2024-05-23,Product Not As Expected,707.75,4
RET-000305,ORD-006694,LINE-011951,2024-09-05,Customer Changed Mind,439.64,1
RET-000306,ORD-011404,LINE-020557,2025-01-15,Customer Changed Mind,69.24,1
RET-000307,ORD-006936,LINE-012386,2024-12-06,Damaged Product,612.66,2
RET-000308,ORD-001963,LINE-003496,2024-10-26,Damaged Product,127.69,1
RET-000309,ORD-011837,LINE-021328,2024-07-01,Customer Changed Mind,136.68,1
RET-000310,ORD-008870,LINE-015938,2024-02-14,Product Not As Expected,539.99,2
RET-000311,ORD-013333,LINE-024026,2024-03-21,Customer Changed Mind,177.77,1
RET-000312,ORD-009497,LINE-017072,2024-12-01,Product Not As Expected,229.1,1
RET-000313,ORD-013098,LINE-023604,2024-02-07,Product Not As Expected,366.5,1
RET-000314,ORD-004613,LINE-008274,2024-09-28,Product Not As Expected,768.43,1
RET-000315,ORD-002183,LINE-003895,2024-09-30,Product Not As Expected,272.72,1
RET-000316,ORD-004502,LINE-008070,2025-01-03,Wrong Product,1003.55,2
RET-000317,ORD-004601,LINE-008257,2024-05-18,Product Not As Expected,585.17,1
RET-000318,ORD-012730,LINE-022950,2024-12-05,Customer Changed Mind,226.0,1
RET-000319,ORD-012600,LINE-022708,2024-02-16,Delivery Issue,377.42,1
RET-000320,ORD-007938,LINE-014224,2024-12-25,Wrong Product,563.57,1
RET-000321,ORD-009178,LINE-016511,2024-12-29,Product Not As Expected,366.12,1
RET-000322,ORD-008561,LINE-015362,2024-01-23,Customer Changed Mind,166.37,1
RET-000323,ORD-010232,LINE-018428,2024-08-23,Customer Changed Mind,275.39,1
RET-000324,ORD-008523,LINE-015291,2024-04-25,Damaged Product,839.35,1
RET-000325,ORD-012324,LINE-022198,2024-03-20,Product Not As Expected,700.46,1
RET-000326,ORD-006407,LINE-011476,2024-10-03,Customer Changed Mind,604.25,1
RET-000327,ORD-001972,LINE-003513,2025-01-07,Damaged Product,394.88,1
RET-000328,ORD-003659,LINE-006578,2024-02-05,Customer Changed Mind,520.74,3
RET-000329,ORD-002654,LINE-004745,2025-01-25,Product Not As Expected,311.55,2
RET-000330,ORD-004730,LINE-008486,2025-01-22,Customer Changed Mind,264.59,1
RET-000331,ORD-009860,LINE-017742,2024-06-13,Product Not As Expected,210.36,3
RET-000332,ORD-001655,LINE-002928,2024-02-19,Product Not As Expected,83.2,1
