Marketing_ID,Date,Country,Channel,Campaign_ID,Campaign_Name,Spend,Impressions,Clicks
MKT-000037,2024-01-05,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,443.89,35967,1676
MKT-000038,2024-01-05,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1244.17,25196,851
MKT-000039,2024-01-05,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,920.29,38091,977
MKT-000040,2024-01-05,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,83.25,3916,284
MKT-000041,2024-01-05,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,142.72,5765,191
MKT-000042,2024-01-05,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,126.39,11488,120
MKT-000043,2024-01-05,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,136.32,6299,331
MKT-000044,2024-01-05,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,449.18,8280,244
MKT-000045,2024-01-05,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,252.92,12418,252
MKT-000046,2024-01-06,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,546.84,24822,1295
MKT-000047,2024-01-06,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1043.52,21235,785
MKT-000048,2024-01-06,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,782.10,48594,1020
MKT-000049,2024-01-06,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,61.09,4496,246
MKT-000050,2024-01-06,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,156.20,2964,88
MKT-000051,2024-01-06,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,133.70,13517,230
MKT-000052,2024-01-06,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,123.44,5959,370
MKT-000053,2024-01-06,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,245.64,4169,110
MKT-000054,2024-01-06,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,228.32,9670,210
MKT-000055,2024-01-07,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,456.73,28466,1519
MKT-000056,2024-01-07,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,760.26,8583,355
MKT-000057,2024-01-07,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR ,794.56,52914,684
MKT-000058,2024-01-07,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,77.72,5430,237
MKT-000059,2024-01-07,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,155.95,2617,95
MKT-000060,2024-01-07,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,127.80,7517,125
MKT-000061,2024-01-07,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,131.44,8503,332
MKT-000062,2024-01-07,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,343.59,5028,181
MKT-000063,2024-01-07,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,235.28,12691,283
MKT-000064,2024-01-08,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,451.23,44262,1745
MKT-000065,2024-01-08,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1254.37,14547,636
MKT-000066,2024-01-08,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,845.33,44796,672
MKT-000067,2024-01-08,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,92.71,7682,317
MKT-000068,2024-01-08,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,149.32,4251,121
MKT-000069,2024-01-08,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,116.70,6571,123
MKT-000070,2024-01-08,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,150.21,10155,639
MKT-000071,2024-01-08,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,286.72,5167,174
MKT-000072,2024-01-08,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,312.51,16192,296
MKT-000073,2024-01-09,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,471.90,60900,2696
MKT-000074,2024-01-09,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,987.91,16056,706
MKT-000075,2024-01-09,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,1056.42,56175,1202
MKT-000076,2024-01-09,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,78.82,7165,312
MKT-000077,2024-01-09,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,158.63,4677,142
MKT-000078,2024-01-09,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,123.03,6279,128
MKT-000079,2024-01-09,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,137.58,9155,449
MKT-000080,2024-01-09,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,386.72,7771,209
MKT-000081,2024-01-09,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,235.66,10021,241
MKT-000082,2024-01-10,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,444.01,21730,1386
MKT-000083,2024-01-10,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1028.89,14908,487
MKT-000084,2024-01-10,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,724.14,42048,862
MKT-000085,2024-01-10,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,71.41,4461,296
MKT-000086,2024-01-10,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,146.85,2221,87
MKT-000087,2024-01-10,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,144.30,7921,134
MKT-000088,2024-01-10,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,133.49,6834,327
MKT-000089,2024-01-10,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,332.10,5651,247
MKT-000090,2024-01-10,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,249.48,17167,245
MKT-000091,2024-01-11,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,461.99,45024,2276
MKT-000092,2024-01-11,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,966.16,17763,823
MKT-000093,2024-01-11,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,774.51,45611,748
MKT-000094,2024-01-11,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,91.03,4951,303
MKT-000095,2024-01-11,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,157.84,4505,114
MKT-000096,2024-01-11,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,114.49,9885,207
MKT-000097,2024-01-11,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,138.39,6562,363
MKT-000098,2024-01-11,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES ,328.64,3710,147
MKT-000099,2024-01-11,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,273.25,12685,259
MKT-000100,2024-01-12,France,Email Marketing,CAMP-FR-EML-003,flash sale fr,461.41,22902,1250
MKT-000101,2024-01-12,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1065.83,18458,815
MKT-000102,2024-01-12,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,809.12,56747,1382
MKT-000103,2024-01-12,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,76.82,8053,420
MKT-000104,2024-01-12,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,117.53,1433,61
MKT-000105,2024-01-12,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,145.96,6797,144
MKT-000106,2024-01-12,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,131.03,6466,379
MKT-000107,2024-01-12,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,368.70,5201,181
MKT-000108,2024-01-12,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,266.76,22377,327
MKT-000109,2024-01-13,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,420.28,67029,3830
MKT-000110,2024-01-13,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,971.66,25398,1154
MKT-000111,2024-01-13,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,843.02,82887,1543
MKT-000112,2024-01-13,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,68.80,3630,189
MKT-000113,2024-01-13,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,164.72,2004,73
MKT-000114,2024-01-13,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,113.02,8667,143
MKT-000115,2024-01-13,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,131.57,9597,402
MKT-000116,2024-01-13,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,321.71,6744,207
MKT-000117,2024-01-13,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,263.16,23769,356
MKT-000118,2024-01-14,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,444.63,23831,1653
MKT-000119,2024-01-14,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,766.73,23528,1031
MKT-000120,2024-01-14,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,730.39,48205,971
MKT-000121,2024-01-14,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,75.99,4262,236
MKT-000122,2024-01-14,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,127.41,4131,132
MKT-000123,2024-01-14,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,111.34,6298,152
MKT-000124,2024-01-14,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,113.01,6040,284
MKT-000125,2024-01-14,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,308.50,7996,189
MKT-000126,2024-01-14,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,251.19,12164,219
MKT-000127,2024-01-15,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,440.68,32284,1708
MKT-000128,2024-01-15,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,895.22,14596,523
MKT-000129,2024-01-15,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,917.72,46671,1248
MKT-000130,2024-01-15,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,75.21,5540,252
MKT-000131,2024-01-15,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,161.01,2919,106
MKT-000132,2024-01-15,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,136.53,6131,113
MKT-000133,2024-01-15,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,177.38,8829,394
MKT-000134,2024-01-15,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,305.01,4920,177
MKT-000135,2024-01-15,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,281.22,14948,242
MKT-000136,2024-01-16,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,593.75,47277,2683
MKT-000137,2024-01-16,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1179.12,13977,649
MKT-000138,2024-01-16,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,835.31,78685,1026
MKT-000139,2024-01-16,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,62.56,4693,279
MKT-000140,2024-01-16,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,212.12,3954,129
MKT-000141,2024-01-16,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,159.54,9604,166
MKT-000142,2024-01-16,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,149.16,12363,687
MKT-000143,2024-01-16,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,334.12,5140,164
MKT-000144,2024-01-16,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,262.71,10352,222
MKT-000145,2024-01-17,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,500.94,30920,2378
MKT-000146,2024-01-17,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1106.02,20585,701
MKT-000147,2024-01-17,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,960.69,37734,918
MKT-000148,2024-01-17,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,73.65,4436,334
MKT-000149,2024-01-17,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,143.98,1802,72
MKT-000150,2024-01-17,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,128.90,7928,168
MKT-000151,2024-01-17,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,128.62,8890,418
MKT-000152,2024-01-17,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,308.84,6440,234
MKT-000153,2024-01-17,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,235.77,17377,266
MKT-000154,2024-01-18,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,414.58,42265,2145
MKT-000155,2024-01-18,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1036.71,18444,725
MKT-000156,2024-01-18,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,810.06,45074,1014
MKT-000157,2024-01-18,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,65.54,4679,220
MKT-000158,2024-01-18,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,153.86,3320,113
MKT-000159,2024-01-18,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,133.12,7014,133
MKT-000160,2024-01-18,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,157.01,10112,658
MKT-000161,2024-01-18,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,356.54,7181,175
MKT-000162,2024-01-18,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,283.03,12951,273
MKT-000163,2024-01-19,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,430.88,43695,2526
MKT-000164,2024-01-19,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1321.59,32511,1144
MKT-000165,2024-01-19,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,898.74,79972,1789
MKT-000166,2024-01-19,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,70.75,3639,235
MKT-000167,2024-01-19,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,175.60,3157,118
MKT-000168,2024-01-19,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,137.49,7400,167
MKT-000169,2024-01-19,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,111.34,7027,321
MKT-000170,2024-01-19,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,373.84,6408,192
MKT-000171,2024-01-19,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,314.54,20234,339
MKT-000172,2024-01-20,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,476.71,20939,1303
MKT-000173,2024-01-20,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1034.72,19461,941
MKT-000174,2024-01-20,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,862.78,34115,818
MKT-000175,2024-01-20,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,66.11,3815,216
MKT-000176,2024-01-20,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,188.74,4149,143
MKT-000177,2024-01-20,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,116.11,9334,142
MKT-000178,2024-01-20,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,166.21,8390,437
MKT-000179,2024-01-20,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,325.03,8692,245
MKT-000180,2024-01-20,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,252.73,14071,317
MKT-000181,2024-01-21,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,403.08,32069,1091
MKT-000182,2024-01-21,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1021.06,18655,571
MKT-000183,2024-01-21,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,809.70,33451,816
MKT-000184,2024-01-21,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,58.30,4191,178
MKT-000185,2024-01-21,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,118.36,3761,146
MKT-000186,2024-01-21,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,126.46,5846,120
MKT-000187,2024-01-21,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,111.20,6736,412
MKT-000188,2024-01-21,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,279.15,3176,146
MKT-000189,2024-01-21,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,246.35,14262,277
MKT-000190,2024-01-22,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,613.75,34899,2358
MKT-000191,2024-01-22,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,928.69,18347,673
MKT-000192,2024-01-22,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,793.60,51432,894
MKT-000193,2024-01-22,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,81.83,5434,337
MKT-000194,2024-01-22,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,142.62,1785,70
MKT-000195,2024-01-22,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,117.26,7611,140
MKT-000196,2024-01-22,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,131.87,9974,568
MKT-000197,2024-01-22,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,264.20,3681,118
MKT-000198,2024-01-22,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,262.94,14043,220
MKT-000199,2024-01-23,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,454.47,95435,5083
MKT-000200,2024-01-23,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1024.52,14763,607
MKT-000201,2024-01-23,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,714.61,36159,889
MKT-000202,2024-01-23,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,73.61,3505,258
MKT-000203,2024-01-23,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,167.10,2445,91
MKT-000204,2024-01-23,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,140.15,6004,152
MKT-000205,2024-01-23,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,178.11,9726,600
MKT-000206,2024-01-23,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,302.74,7316,236
MKT-000207,2024-01-23,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,272.07,37998,394
MKT-000208,2024-01-24,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,370.97,19810,928
MKT-000209,2024-01-24,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1031.13,19768,849
MKT-000210,2024-01-24,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,928.76,50613,1095
MKT-000211,2024-01-24,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,66.01,3007,181
MKT-000212,2024-01-24,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,145.43,4303,137
MKT-000213,2024-01-24,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,111.19,4600,104
MKT-000214,2024-01-24,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,138.69,7617,552
MKT-000215,2024-01-24,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,457.58,13344,329
MKT-000216,2024-01-24,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,285.10,19786,254
MKT-000217,2024-01-25,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,467.13,42026,3011
MKT-000218,2024-01-25,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1112.54,17330,787
MKT-000219,2024-01-25,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,987.52,50207,1292
MKT-000220,2024-01-25,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,62.56,1947,142
MKT-000221,2024-01-25,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,162.01,4099,138
MKT-000222,2024-01-25,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,125.18,8798,127
MKT-000223,2024-01-25,Spain,Email Marketing,CAMP-ES-EML-006,flash sale es,164.82,7906,504
MKT-000224,2024-01-25,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,346.77,5729,193
MKT-000225,2024-01-25,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,295.21,17964,345
MKT-000226,2024-01-26,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,513.60,27885,1681
MKT-000227,2024-01-26,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1117.64,15454,681
MKT-000228,2024-01-26,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,773.65,45882,847
MKT-000229,2024-01-26,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,68.48,4063,233
MKT-000230,2024-01-26,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,200.55,2299,97
MKT-000231,2024-01-26,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,115.94,3751,85
MKT-000232,2024-01-26,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,135.53,16072,645
MKT-000233,2024-01-26,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,343.21,8668,309
MKT-000234,2024-01-26,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,324.82,29066,434
MKT-000235,2024-01-27,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,456.31,19865,1400
MKT-000236,2024-01-27,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1233.57,19906,846
MKT-000237,2024-01-27,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,721.04,25006,735
MKT-000238,2024-01-27,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,71.86,5237,213
MKT-000239,2024-01-27,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,153.50,5673,187
MKT-000240,2024-01-27,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,125.18,4585,100
MKT-000241,2024-01-27,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,129.71,4756,328
MKT-000242,2024-01-27,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,328.64,6634,176
MKT-000243,2024-01-27,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,304.02,16460,376
MKT-000244,2024-01-28,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,349.71,30756,1534
MKT-000245,2024-01-28,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,942.95,23855,823
